id,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,birth_date,birth_place,birth_country,residence_place,residence_country,lang,familyName,firstName,iso_country
0,ALEKSANYAN Artur,ALEKSANYAN A,Artur ALEKSANYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,21/10/1991,GYUMRI,Armenia,GYUMRI,Armenia,"Armenian, English, Russian",ALEKSANYAN,Artur,AM
1,AMOYAN Malkhas,AMOYAN M,Malkhas AMOYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,22/01/1999,YEREVAN,Armenia,YEREVAN,Armenia,Armenian,AMOYAN,Malkhas,AM
2,GALSTYAN Slavik,GALSTYAN S,Slavik GALSTYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,21/12/1996,,,YEREVAN,Armenia,Armenian,GALSTYAN,Slavik,
3,HARUTYUNYAN Arsen,HARUTYUNYAN A,Arsen HARUTYUNYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,22/11/1999,MASIS,Armenia,YEREVAN,Armenia,Armenian,HARUTYUNYAN,Arsen,AM
4,TEVANYAN Vazgen,TEVANYAN V,Vazgen TEVANYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,27/10/1999,POKR VEDI,Armenia,,Armenia,"Armenian, Russian",TEVANYAN,Vazgen,AM
5,ARENAS Lorena,ARENAS L,Lorena ARENAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,17/09/1993,PEREIRA,Colombia,MELBOURNE,Australia,Spanish,ARENAS,Lorena,CO
6,McKENZIE Ashley,McKENZIE A,Ashley McKENZIE,Male,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,17/07/1989,LONDON,Great Britain,CAMBERLEY,Great Britain,English,,McKENZIE Ashley,GB
7,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,03/05/1995,TUBAKUTA,Gambia,,,"English, French",BASS BITTAYE,Gina Mariam,GM
8,CAMARA Ebrahima,CAMARA E,Ebrahima CAMARA,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,18/09/1996,BUNDUNG,Gambia,ANGERS,France,"Arabic, English, French, Mandinka, Wolof",CAMARA,Ebrahima,GM
9,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Lizeth RUEDA SANTOS,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,07/03/1994,GUADALAJARA,Mexico,XALAPA,Mexico,Spanish,RUEDA SANTOS,Lizeth,MX
10,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,27/08/1997,HERMOSILLO,Mexico,GUADALAJARA,Mexico,"English, Spanish",TAPIA VIDAL,Rosa Maria,MX
11,GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,06/05/1987,XALAPA,Mexico,XALAPA,Mexico,Spanish,GRAJALES,Crisanto,MX
12,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,13/02/1997,MARSEILLE,France,MARSEILLE,France,French,MAAROUFOU,Hachim,FR
13,SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,16/01/2007,VIENNE,France,SAINT-ROMAIN-EN-GAL,France,French,SAADI,Maesha,FR
14,DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,22/08/1990,GUADALAJARA,Mexico,MEXICO CITY,Mexico,Spanish,DIOSDADO,Nuria,MX
15,JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,19/08/1993,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico,Spanish,JIMENEZ,Joana,MX
16,SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/05/1994,MEXICO CITY,Mexico,MEXICO CITY,Mexico,Spanish,SOBRINO,Jessica,MX
17,ALFEREZ Regina,ALFEREZ R,Regina ALFEREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,01/12/1997,,,MEXICO CITY,Mexico,Spanish,ALFEREZ,Regina,
18,ARELLANO Fernanda,ARELLANO F,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,28/02/2002,,,MEXICO CITY,Mexico,Spanish,ARELLANO,Fernanda,
19,TOSCANO Pamela,TOSCANO P,Pamela TOSCANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,13/01/2000,,,GUADALAJARA,Mexico,Spanish,TOSCANO,Pamela,
20,GONZALEZ Itzamary,GONZALEZ I,Itzamary GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,14/11/2003,,,,,Spanish,GONZALEZ,Itzamary,
21,RODRIGUEZ Samanta,RODRIGUEZ S,Samanta RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/12/1994,,,,,Spanish,RODRIGUEZ,Samanta,
22,INZUNZA Glenda,INZUNZA G,Glenda INZUNZA,Female,Alternate Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,12/03/2000,,,,,,INZUNZA,Glenda,
23,SEHEN Sajjad,SEHEN S,Sajjad SEHEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,08/03/1996,,Iraq,,Iraq,Arabic,SEHEN,Sajjad,IQ
