index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraTotalName,extraProbability,extraCountryUsedByService,extraUsedAI,extraForcedGenderize
0,Clara Benson,clara,female,female,GH,True,genderAPI.io,1,100,GH,False,False
2,Dalia Ziada,dalia,female,female,EG,True,genderAPI.io,213,100,EG,False,False
3,Fatou Haidara,fatou,female,female,ML,True,genderAPI.io,121,100,US,False,False
7,Diallo Sène,diallo,female,male,ML,True,genderAPI.io,1,100,ML,False,False
8,Fatoumata Sylla,fatoumata,female,female,ML,True,genderAPI.io,1,100,ML,False,False
12,Awa Traoré,awa,female,female,ML,True,genderAPI.io,178,60,ID,False,False
17,Lorna Doorman,lorna,female,female,ZW,True,genderAPI.io,1,100,ZW,False,False
18,Enayat al-Zayyat,enayat,female,male,EG,True,genderAPI.io,12,100,IN,False,False
20,Fatima Hellilou,fatima,female,female,DZ,True,genderAPI.io,7,100,DZ,False,False
21,Fadila Hachemaoui,fadila,female,female,DZ,True,genderAPI.io,303,91,ID,False,False
22,Mervat Farrag,mervat,female,female,EG,True,genderAPI.io,30,97,EG,False,False
23,Ghaniyya Bouhouia,ghaniyya,female,female,DZ,True,genderAPI.io,5,80,ID,False,False
24,Bella Keshk,bella,female,female,EG,True,genderAPI.io,6,83,EG,False,False
26,Emna Fakher,emna,female,female,TN,True,genderAPI.io,314,99,TN,False,False
27,Marianne Khoury,marianne,female,female,EG,True,genderAPI.io,16,100,EG,False,False
33,Vicentia Boco,vicentia,female,female,BJ,True,genderAPI.io,7,100,ID,False,False
34,Therese Soukup,therese,female,female,SC,True,genderAPI.io,1161,99,US,False,False
35,Aisha Yesufu,aisha,female,female,NG,True,genderAPI.io,63,98,NG,False,False
37,Priscilla Jana,priscilla,female,female,ZA,True,genderAPI.io,21,100,ZA,False,False
42,Aïcha Macky,aïcha,female,female,NG,True,genderAPI.io,59,97,BE,False,False
44,Philippa Ndisi-Herrmann,philippa,female,female,KE,True,genderAPI.io,278,99,GB,False,False
46,Bridget Otoo,bridget,female,female,GH,True,genderAPI.io,5,100,GH,False,False
47,Branwen Okpako,branwen,female,female,NG,True,genderAPI.io,11,82,US,False,False
48,Voahary Rakotovelomanantsoa,voahary,female,female,MG,True,genderAPI.io,1,85,MG,False,False
50,Sophia Byass,sophia,female,female,GM,True,genderAPI.io,6312,99,US,False,False
53,Mandisa Makesini,mandisa,female,female,ZA,True,genderAPI.io,31,100,ZA,False,False
55,Cynthia Butare,cynthia,female,female,RW,True,genderAPI.io,18140,100,US,False,False
57,Sakina Safadi,sakina,female,female,MA,True,genderAPI.io,3,100,MA,False,False
58,Laura Musanase,laura,female,female,TZ,True,genderAPI.io,1,100,TZ,False,False
59,Munezero Aline,munezero,female,male,RW,True,genderAPI.io,1,100,RW,False,False
61,Nadège Uwamwezi,nadège,female,female,RW,True,genderAPI.io,114,100,FR,False,False
63,Martine Oulabou,martine,female,female,GA,True,genderAPI.io,1611,98,BE,False,False
64,Ayyam Sureau,ayyam,female,female,EG,True,genderAPI.io,5,100,US,False,False
65,Catherine Kamau,catherine,female,female,KE,True,genderAPI.io,42,100,KE,False,False
66,Aïcha Boro,aïcha,female,female,BF,True,genderAPI.io,59,97,BE,False,False
67,Fay Goldie,fay,female,female,ZA,True,genderAPI.io,3,100,ZA,False,False
68,Aderonke Adeola,aderonke,female,female,NG,True,genderAPI.io,15,100,NG,False,False
69,Pascale Lamche,pascale,female,female,ZA,True,genderAPI.io,5,100,ZA,False,False
70,Kagendo Murungi,kagendo,female,female,KE,True,genderAPI.io,2,100,KE,False,False
71,Omelga Mthiyane,omelga,female,female,ZA,True,genderAPI.io,1,70,ZA,False,False
74,Alfa Demmellash,alfa,female,male,ET,True,genderAPI.io,1037,74,ID,False,False
76,Habiba Marzouk,habiba,female,female,EG,True,genderAPI.io,49,98,EG,False,False
78,Garcelle Napier,garcelle,female,female,ZA,True,genderAPI.io,2,100,BS,False,False
84,Jasmin Pillay,jasmin,female,female,ZA,True,genderAPI.io,2,100,ZA,False,False
87,Fatou Samba,fatou,female,female,SN,True,genderAPI.io,6,100,SN,False,False
89,Melissa Cohen,melissa,female,female,ZA,True,genderAPI.io,152,100,ZA,False,False
90,Sira Jallow,sira,female,male,GM,True,genderAPI.io,270,53,TH,False,False
91,Vivienne Roumani,vivienne,female,female,LY,True,genderAPI.io,541,100,US,False,False
94,Mariama Sowe,mariama,female,female,GM,True,genderAPI.io,1,100,GM,False,False
95,Hannah Faal-Heim,hannah,female,female,GM,True,genderAPI.io,17637,100,US,False,False
96,Tsehay Melaku,tsehay,female,male,ET,True,genderAPI.io,2,50,US,False,False
97,Tamy Moyo,tamy,female,female,ZW,True,genderAPI.io,711,97,BR,False,False
98,Alphonse Menyo,alphonse,female,male,GH,True,genderAPI.io,4,100,GH,False,False
99,Chiedza Mhende,chiedza,female,female,ZW,True,genderAPI.io,4,75,US,False,False
100,Shana Dowdeswell,shana,female,female,ZW,True,genderAPI.io,2737,99,US,False,False
101,Jean Doyle,jean,female,male,ZA,True,genderAPI.io,115,85,ZA,False,False
103,Vivian Ewalefo,vivian,female,female,NG,True,genderAPI.io,46,100,NG,False,False
