index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extra_useFullName,extraProbability,extraIdentifiedFirstName,extraIdentifiedLastName
0,Clara Benson,Clara,female,female,GH,True,genderAPI.com,False,0.98,Clara,
2,Dalia Ziada,Dalia,female,female,EG,True,genderAPI.com,False,0.98,Dalia,
3,Fatou Haidara,Fatou,female,female,ML,True,genderAPI.com,False,0.97,Fatou,
7,Diallo Sène,Diallo,female,male,ML,True,genderAPI.com,False,0.86,Diallo,
8,Fatoumata Sylla,Fatoumata,female,female,ML,True,genderAPI.com,False,0.98,Fatoumata,
12,Awa Traoré,Awa,female,female,ML,True,genderAPI.com,False,0.99,Awa,
17,Lorna Doorman,Lorna,female,female,ZW,True,genderAPI.com,False,1.0,Lorna,
18,Enayat al-Zayyat,Enayat,female,male,EG,True,genderAPI.com,False,0.93,Enayat,
20,Fatima Hellilou,Fatima,female,female,DZ,True,genderAPI.com,False,0.98,Fatima,
21,Fadila Hachemaoui,Fadila,female,female,DZ,True,genderAPI.com,False,0.97,Fadila,
22,Mervat Farrag,Mervat,female,female,EG,True,genderAPI.com,False,0.98,Mervat,
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,True,genderAPI.com,False,0.75,Ghaniyya,
24,Bella Keshk,Bella,female,female,EG,True,genderAPI.com,False,0.86,Bella,
26,Emna Fakher,Emna,female,female,TN,True,genderAPI.com,False,0.99,Emna,
27,Marianne Khoury,Marianne,female,female,EG,True,genderAPI.com,False,1.0,Marianne,
33,Vicentia Boco,Vicentia,female,female,BJ,True,genderAPI.com,False,1.0,Vicentia,
34,Therese Soukup,Therese,female,female,SC,True,genderAPI.com,False,1.0,Therese,
35,Aisha Yesufu,Aisha,female,female,NG,True,genderAPI.com,False,0.98,Aisha,
37,Priscilla Jana,Priscilla,female,female,ZA,True,genderAPI.com,False,0.98,Priscilla,
42,Aïcha Macky,Aïcha,female,female,NG,True,genderAPI.com,False,0.99,Aïcha,
44,Philippa Ndisi-Herrmann,Philippa,female,female,KE,True,genderAPI.com,False,0.98,Philippa,
46,Bridget Otoo,Bridget,female,female,GH,True,genderAPI.com,False,0.98,Bridget,
47,Branwen Okpako,Branwen,female,female,NG,True,genderAPI.com,False,0.77,Branwen,
48,Voahary Rakotovelomanantsoa,Voahary,female,female,MG,True,genderAPI.com,False,0.67,Voahary,
50,Sophia Byass,Sophia,female,female,GM,True,genderAPI.com,False,0.98,Sophia,
53,Mandisa Makesini,Mandisa,female,female,ZA,True,genderAPI.com,False,0.95,Mandisa,
55,Cynthia Butare,Cynthia,female,female,RW,True,genderAPI.com,False,0.94,Cynthia,
