index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
0,ALEKSANYAN Artur,Artur,male,male,AM,False,genderGuesser,male
1,AMOYAN Malkhas,Malkhas,male,unknown,AM,False,genderGuesser,unknown
2,GALSTYAN Slavik,Slavik,male,male,AM,False,genderGuesser,male
3,HARUTYUNYAN Arsen,Arsen,male,male,AM,False,genderGuesser,male
4,TEVANYAN Vazgen,Vazgen,male,male,AM,False,genderGuesser,male
5,ARENAS Lorena,Lorena,female,female,CO,False,genderGuesser,female
6,McKENZIE Ashley,Ashley,male,,GB,False,genderGuesser,mostly_female
7,CAMARA Ebrahima,Ebrahima,male,unknown,GM,False,genderGuesser,unknown
8,GRAJALES Crisanto,Crisanto,male,unknown,MX,False,genderGuesser,unknown
9,MAAROUFOU Hachim,Hachim,male,unknown,FR,False,genderGuesser,unknown
10,SAADI Maesha,Maesha,female,unknown,FR,False,genderGuesser,unknown
11,DIOSDADO Nuria,Nuria,female,female,MX,False,genderGuesser,female
12,JIMENEZ Joana,Joana,female,female,MX,False,genderGuesser,female
13,SOBRINO Jessica,Jessica,female,female,MX,False,genderGuesser,female
14,ALFEREZ Regina,Regina,female,female,MX,False,genderGuesser,female
15,ARELLANO Fernanda,Fernanda,female,female,MX,False,genderGuesser,female
16,TOSCANO Pamela,Pamela,female,female,MX,False,genderGuesser,female
17,GONZALEZ Itzamary,Itzamary,female,unknown,MX,False,genderGuesser,unknown
18,RODRIGUEZ Samanta,Samanta,female,female,MX,False,genderGuesser,female
19,INZUNZA Glenda,Glenda,female,female,MX,False,genderGuesser,female
20,SEHEN Sajjad,Sajjad,male,male,IQ,False,genderGuesser,male
21,ISMAIL Mohamed,Mohamed,male,male,DJ,False,genderGuesser,male
22,HASSAN Ibrahim,Ibrahim,male,male,DJ,False,genderGuesser,male
23,WAISS Abdi,Abdi,male,male,DJ,False,genderGuesser,male
24,BARAT Andy,Andy,male,male,KM,False,genderGuesser,male
25,GONZALEZ Alegna,Alegna,female,unknown,MX,False,genderGuesser,unknown
26,PORTILLO Erick,Erick,male,male,MX,False,genderGuesser,male
27,MUNOZ Uziel,Uziel,male,unknown,MX,False,genderGuesser,unknown
28,MORAN Paola,Paola,female,female,MX,False,genderGuesser,female
29,GALVAN Laura,Laura,female,female,MX,False,genderGuesser,female
30,BLANCO Luisa,Luisa,female,female,US,False,genderGuesser,female
31,FERNANDEZ Federico,Federico,male,male,MX,False,genderGuesser,male
32,MORENO Alexa,Alexa,female,female,MX,False,genderGuesser,female
33,SANDOVAL Ahtziri,Ahtziri,female,unknown,MX,False,genderGuesser,unknown
34,FLORES Sofia,Sofia,female,female,MX,False,genderGuesser,female
