index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
0,ALEKSANYAN Artur,Artur,male,male,AM,True,genderGuesser,male
1,AMOYAN Malkhas,Malkhas,male,unknown,AM,True,genderGuesser,unknown
2,GALSTYAN Slavik,Slavik,male,male,AM,True,genderGuesser,male
3,HARUTYUNYAN Arsen,Arsen,male,male,AM,True,genderGuesser,male
4,TEVANYAN Vazgen,Vazgen,male,male,AM,True,genderGuesser,male
5,ARENAS Lorena,Lorena,female,unknown,CO,True,genderGuesser,andy
6,McKENZIE Ashley,Ashley,male,female,GB,True,genderGuesser,mostly_female
7,CAMARA Ebrahima,Ebrahima,male,unknown,GM,True,genderGuesser,unknown
8,GRAJALES Crisanto,Crisanto,male,unknown,MX,True,genderGuesser,unknown
9,MAAROUFOU Hachim,Hachim,male,unknown,FR,True,genderGuesser,unknown
10,SAADI Maesha,Maesha,female,unknown,FR,True,genderGuesser,unknown
11,DIOSDADO Nuria,Nuria,female,unknown,MX,True,genderGuesser,andy
12,JIMENEZ Joana,Joana,female,unknown,MX,True,genderGuesser,andy
13,SOBRINO Jessica,Jessica,female,unknown,MX,True,genderGuesser,andy
14,ALFEREZ Regina,Regina,female,unknown,MX,True,genderGuesser,andy
15,ARELLANO Fernanda,Fernanda,female,unknown,MX,True,genderGuesser,andy
16,TOSCANO Pamela,Pamela,female,unknown,MX,True,genderGuesser,andy
17,GONZALEZ Itzamary,Itzamary,female,unknown,MX,True,genderGuesser,unknown
18,RODRIGUEZ Samanta,Samanta,female,unknown,MX,True,genderGuesser,andy
19,INZUNZA Glenda,Glenda,female,unknown,MX,True,genderGuesser,andy
20,SEHEN Sajjad,Sajjad,male,unknown,IQ,True,genderGuesser,andy
21,ISMAIL Mohamed,Mohamed,male,unknown,DJ,True,genderGuesser,andy
22,HASSAN Ibrahim,Ibrahim,male,unknown,DJ,True,genderGuesser,andy
23,WAISS Abdi,Abdi,male,unknown,DJ,True,genderGuesser,andy
24,BARAT Andy,Andy,male,unknown,KM,True,genderGuesser,andy
25,GONZALEZ Alegna,Alegna,female,unknown,MX,True,genderGuesser,unknown
26,PORTILLO Erick,Erick,male,unknown,MX,True,genderGuesser,andy
27,MUNOZ Uziel,Uziel,male,unknown,MX,True,genderGuesser,unknown
28,MORAN Paola,Paola,female,unknown,MX,True,genderGuesser,andy
29,GALVAN Laura,Laura,female,unknown,MX,True,genderGuesser,andy
30,BLANCO Luisa,Luisa,female,unknown,US,True,genderGuesser,andy
31,FERNANDEZ Federico,Federico,male,unknown,MX,True,genderGuesser,andy
32,MORENO Alexa,Alexa,female,unknown,MX,True,genderGuesser,andy
33,SANDOVAL Ahtziri,Ahtziri,female,unknown,MX,True,genderGuesser,unknown
34,FLORES Sofia,Sofia,female,unknown,MX,True,genderGuesser,andy
35,SALAZAR Kimberly,Kimberly,female,unknown,MX,True,genderGuesser,andy
36,TEJEDA Adirem,Adirem,female,unknown,MX,True,genderGuesser,unknown
37,ALCOCER Dalia,Dalia,female,unknown,MX,True,genderGuesser,andy
38,GUTIERREZ Julia,Julia,female,unknown,MX,True,genderGuesser,andy
39,HERNANDEZ Emiliano,Emiliano,male,unknown,MX,True,genderGuesser,andy
40,CARRILLO Duilio,Duilio,male,unknown,MX,True,genderGuesser,andy
41,OLIVER Mayan,Mayan,female,unknown,MX,True,genderGuesser,unknown
42,SANSORES Carlos,Carlos,male,unknown,MX,True,genderGuesser,andy
43,GRIGORIAN Aram,Aram,male,unknown,RU,True,genderGuesser,andy
