index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
0,Clara Benson,Clara,female,female,GH,False,genderGuesser,female
1,Dalia Ziada,Dalia,female,female,EG,False,genderGuesser,female
2,Fatou Haidara,Fatou,female,unknown,ML,False,genderGuesser,unknown
3,Diallo Sène,Diallo,female,unknown,ML,False,genderGuesser,unknown
4,Fatoumata Sylla,Fatoumata,female,unknown,ML,False,genderGuesser,unknown
5,Awa Traoré,Awa,female,female,ML,False,genderGuesser,female
6,Lorna Doorman,Lorna,female,female,ZW,False,genderGuesser,female
7,Enayat al-Zayyat,Enayat,female,unknown,EG,False,genderGuesser,unknown
8,Fatima Hellilou,Fatima,female,female,DZ,False,genderGuesser,female
9,Fadila Hachemaoui,Fadila,female,female,DZ,False,genderGuesser,female
10,Mervat Farrag,Mervat,female,unknown,EG,False,genderGuesser,unknown
11,Ghaniyya Bouhouia,Ghaniyya,female,unknown,DZ,False,genderGuesser,unknown
12,Bella Keshk,Bella,female,female,EG,False,genderGuesser,female
13,Emna Fakher,Emna,female,unknown,TN,False,genderGuesser,unknown
14,Marianne Khoury,Marianne,female,female,EG,False,genderGuesser,female
15,Vicentia Boco,Vicentia,female,unknown,BJ,False,genderGuesser,unknown
16,Therese Soukup,Therese,female,female,SC,False,genderGuesser,female
17,Aisha Yesufu,Aisha,female,female,NG,False,genderGuesser,female
18,Priscilla Jana,Priscilla,female,female,ZA,False,genderGuesser,female
19,Aïcha Macky,Aïcha,female,unknown,NG,False,genderGuesser,unknown
20,Philippa Ndisi-Herrmann,Philippa,female,female,KE,False,genderGuesser,female
21,Bridget Otoo,Bridget,female,female,GH,False,genderGuesser,female
22,Branwen Okpako,Branwen,female,female,NG,False,genderGuesser,female
23,Voahary Rakotovelomanantsoa,Voahary,female,unknown,MG,False,genderGuesser,unknown
24,Sophia Byass,Sophia,female,female,GM,False,genderGuesser,female
25,Mandisa Makesini,Mandisa,female,unknown,ZA,False,genderGuesser,unknown
26,Cynthia Butare,Cynthia,female,female,RW,False,genderGuesser,female
27,Sakina Safadi,Sakina,female,female,MA,False,genderGuesser,female
28,Laura Musanase,Laura,female,female,TZ,False,genderGuesser,female
29,Munezero Aline,Munezero,female,unknown,RW,False,genderGuesser,unknown
30,Nadège Uwamwezi,Nadège,female,female,RW,False,genderGuesser,female
31,Martine Oulabou,Martine,female,female,GA,False,genderGuesser,female
32,Ayyam Sureau,Ayyam,female,unknown,EG,False,genderGuesser,unknown
33,Catherine Kamau,Catherine,female,female,KE,False,genderGuesser,female
34,Aïcha Boro,Aïcha,female,unknown,BF,False,genderGuesser,unknown
35,Fay Goldie,Fay,female,,ZA,False,genderGuesser,mostly_female
36,Aderonke Adeola,Aderonke,female,unknown,NG,False,genderGuesser,unknown
37,Pascale Lamche,Pascale,female,female,ZA,False,genderGuesser,female
38,Kagendo Murungi,Kagendo,female,unknown,KE,False,genderGuesser,unknown
39,Omelga Mthiyane,Omelga,female,unknown,ZA,False,genderGuesser,unknown
40,Alfa Demmellash,Alfa,female,female,ET,False,genderGuesser,female
41,Habiba Marzouk,Habiba,female,female,EG,False,genderGuesser,female
42,Garcelle Napier,Garcelle,female,unknown,ZA,False,genderGuesser,unknown
43,Jasmin Pillay,Jasmin,female,female,ZA,False,genderGuesser,female
44,Fatou Samba,Fatou,female,unknown,SN,False,genderGuesser,unknown
45,Melissa Cohen,Melissa,female,female,ZA,False,genderGuesser,female
46,Sira Jallow,Sira,female,female,GM,False,genderGuesser,female
47,Vivienne Roumani,Vivienne,female,female,LY,False,genderGuesser,female
48,Mariama Sowe,Mariama,female,unknown,GM,False,genderGuesser,unknown
49,Hannah Faal-Heim,Hannah,female,female,GM,False,genderGuesser,female
50,Tsehay Melaku,Tsehay,female,unknown,ET,False,genderGuesser,unknown
51,Tamy Moyo,Tamy,female,unknown,ZW,False,genderGuesser,unknown
52,Alphonse Menyo,Alphonse,female,male,GH,False,genderGuesser,male
53,Chiedza Mhende,Chiedza,female,unknown,ZW,False,genderGuesser,unknown
54,Shana Dowdeswell,Shana,female,female,ZW,False,genderGuesser,female
55,Jean Doyle,Jean,female,male,ZA,False,genderGuesser,male
56,Vivian Ewalefo,Vivian,female,female,NG,False,genderGuesser,female
57,Shudufhadzo Musida,Shudufhadzo,female,unknown,ZA,False,genderGuesser,unknown
58,Catarina Taborda,Catarina,female,female,GW,False,genderGuesser,female
59,Fatou Baldeh,Fatou,female,unknown,GM,False,genderGuesser,unknown
60,Fatima Chiguer,Fatima,female,female,MA,False,genderGuesser,female
61,Agatha Cilliers,Agatha,female,female,ZA,False,genderGuesser,female
62,Alemu Megertu,Alemu,female,unknown,ET,False,genderGuesser,unknown
63,Rahma Tusa,Rahma,female,unknown,ET,False,genderGuesser,unknown
64,Phumzile Sitole,Phumzile,female,unknown,ZA,False,genderGuesser,unknown
65,Rosemary Aluoch,Rosemary,female,female,KE,False,genderGuesser,female
66,Adanech Abebe,Adanech,female,unknown,ET,False,genderGuesser,unknown
67,Charlbi Dean,Charlbi,female,unknown,ZA,False,genderGuesser,unknown
68,Mariam Selim,Mariam,female,female,EG,False,genderGuesser,female
69,Virginia Khunguni,Virginia,female,female,MW,False,genderGuesser,female
70,Leslie Witz,Leslie,female,,ZA,False,genderGuesser,mostly_female
71,Aisha Tsamiya,Aisha,female,female,NG,False,genderGuesser,female
72,Leila Nakabira,Leila,female,female,UG,False,genderGuesser,female
73,Fati Washa,Fati,female,unknown,NG,False,genderGuesser,unknown
74,Simone Ackermann,Simone,female,female,ZA,False,genderGuesser,female
75,Fati Shu'uma,Fati,female,unknown,NG,False,genderGuesser,unknown
76,Patricia Francourt,Patricia,female,female,SC,False,genderGuesser,female
77,Devika Vidot,Devika,female,unknown,SC,False,genderGuesser,unknown
78,Yola Mgogwana,Yola,female,unknown,ZA,False,genderGuesser,unknown
79,Aliaa Saleh,Aliaa,female,unknown,EG,False,genderGuesser,unknown
80,Sana Elsherbiny,Sana,female,female,EG,False,genderGuesser,female
81,Polina Fouda,Polina,female,female,EG,False,genderGuesser,female
82,Salma Saleh,Salma,female,female,EG,False,genderGuesser,female
83,Tia Sobhy,Tia,female,female,EG,False,genderGuesser,female
84,Malak Selim,Malak,female,male,EG,False,genderGuesser,male
85,Login Elsasyed,Login,female,unknown,EG,False,genderGuesser,unknown
86,Sara Rostom,Sara,female,female,EG,False,genderGuesser,female
87,Janet Karim,Janet,female,female,MW,False,genderGuesser,female
88,Zainab Gimba,Zainab,female,female,NG,False,genderGuesser,female
89,Farah Hussein,Farah,female,female,EG,False,genderGuesser,female
90,Mandy Mohamed,Mandy,female,female,EG,False,genderGuesser,female
91,Farah Salem,Farah,female,female,EG,False,genderGuesser,female
92,Adekemi Adesida,Adekemi,female,unknown,NG,False,genderGuesser,unknown
93,Helen Ocheke,Helen,female,female,NG,False,genderGuesser,female
94,Adenike Oyekunle,Adenike,female,unknown,NG,False,genderGuesser,unknown
95,Oluwadamilola Oluwafemi,Oluwadamilola,female,unknown,NG,False,genderGuesser,unknown
96,Cathryn Credo,Cathryn,female,female,TZ,False,genderGuesser,female
97,Sheila Munyiva,Sheila,female,female,KE,False,genderGuesser,female
98,Michelle Abueng,Michelle,female,female,BW,False,genderGuesser,female
99,Henrietta Mbawah,Henrietta,female,female,SL,False,genderGuesser,female
100,Sanaba Kaba,Sanaba,female,unknown,GN,False,genderGuesser,unknown
101,Davina Itoo,Davina,female,female,MU,False,genderGuesser,female
102,Hannatu Bashir,Hannatu,female,unknown,NG,False,genderGuesser,unknown
103,Fadila Muhammad,Fadila,female,female,NG,False,genderGuesser,female
104,Susan Akene,Susan,female,female,NG,False,genderGuesser,female
105,Yolanda Steyn,Yolanda,female,female,ZA,False,genderGuesser,female
106,Johanna Mafuyana,Johanna,female,female,ZW,False,genderGuesser,female
107,Bouchra Zboured,Bouchra,female,female,MA,False,genderGuesser,female
108,Arlete Bombe,Arlete,female,female,MZ,False,genderGuesser,female
109,Selma Hellal,Selma,female,female,DZ,False,genderGuesser,female
110,Lihle Dhlomo,Lihle,female,unknown,ZA,False,genderGuesser,unknown
111,Rebecca Majeka,Rebecca,female,female,ZA,False,genderGuesser,female
112,Helena Amoako,Helena,female,female,GH,False,genderGuesser,female
113,Dora Manu,Dora,female,female,GH,False,genderGuesser,female
114,Yetunde Arobieke,Yetunde,female,unknown,NG,False,genderGuesser,unknown
115,Mable Esendi,Mable,female,female,KE,False,genderGuesser,female
116,Florence Wanjiru,Florence,female,female,KE,False,genderGuesser,female
117,Emebet Shiferaw,Emebet,female,unknown,ET,False,genderGuesser,unknown
