index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
0,Clara Benson,Clara,female,female,GH,False,genderGuesser,female
1,Dalia Ziada,Dalia,female,female,EG,False,genderGuesser,female
2,Fatou Haidara,Fatou,female,unknown,ML,False,genderGuesser,unknown
3,Claude Haffner,Claude,female,male,,False,genderGuesser,mostly_male
4,Diallo Sène,Diallo,female,unknown,ML,False,genderGuesser,unknown
5,Fatoumata Sylla,Fatoumata,female,unknown,ML,False,genderGuesser,unknown
6,Manuella Ollo,Manuella,female,female,,False,genderGuesser,female
7,Awa Traoré,Awa,female,female,ML,False,genderGuesser,female
8,Lorna Doorman,Lorna,female,female,ZW,False,genderGuesser,female
9,Enayat al-Zayyat,Enayat,female,unknown,EG,False,genderGuesser,unknown
10,Fatima Hellilou,Fatima,female,female,DZ,False,genderGuesser,female
11,Fadila Hachemaoui,Fadila,female,female,DZ,False,genderGuesser,female
12,Mervat Farrag,Mervat,female,unknown,EG,False,genderGuesser,unknown
13,Ghaniyya Bouhouia,Ghaniyya,female,unknown,DZ,False,genderGuesser,unknown
14,Bella Keshk,Bella,female,female,EG,False,genderGuesser,female
15,Magda Saleh,Magda,female,female,,False,genderGuesser,female
16,Emna Fakher,Emna,female,unknown,TN,False,genderGuesser,unknown
17,Marianne Khoury,Marianne,female,female,EG,False,genderGuesser,female
18,Vicentia Boco,Vicentia,female,unknown,BJ,False,genderGuesser,unknown
19,Therese Soukup,Therese,female,female,SC,False,genderGuesser,female
20,Aisha Yesufu,Aisha,female,female,NG,False,genderGuesser,female
21,Priscilla Jana,Priscilla,female,female,ZA,False,genderGuesser,female
22,Aïcha Macky,Aïcha,female,unknown,NG,False,genderGuesser,unknown
23,Philippa Ndisi-Herrmann,Philippa,female,female,KE,False,genderGuesser,female
24,Bridget Otoo,Bridget,female,female,GH,False,genderGuesser,female
25,Branwen Okpako,Branwen,female,female,NG,False,genderGuesser,female
26,Voahary Rakotovelomanantsoa,Voahary,female,unknown,MG,False,genderGuesser,unknown
27,Joelle Kayembe,Joelle,female,female,,False,genderGuesser,female
28,Sophia Byass,Sophia,female,female,GM,False,genderGuesser,female
29,Mandisa Makesini,Mandisa,female,unknown,ZA,False,genderGuesser,unknown
30,Cynthia Butare,Cynthia,female,female,RW,False,genderGuesser,female
31,Sakina Safadi,Sakina,female,female,MA,False,genderGuesser,female
32,Laura Musanase,Laura,female,female,TZ,False,genderGuesser,female
33,Munezero Aline,Munezero,female,unknown,RW,False,genderGuesser,unknown
34,Girley Jazama,Girley,female,unknown,,False,genderGuesser,unknown
35,Nadège Uwamwezi,Nadège,female,female,RW,False,genderGuesser,female
36,Martine Oulabou,Martine,female,female,GA,False,genderGuesser,female
37,Ayyam Sureau,Ayyam,female,unknown,EG,False,genderGuesser,unknown
38,Catherine Kamau,Catherine,female,female,KE,False,genderGuesser,female
39,Aïcha Boro,Aïcha,female,unknown,BF,False,genderGuesser,unknown
40,Fay Goldie,Fay,female,female,ZA,False,genderGuesser,mostly_female
41,Aderonke Adeola,Aderonke,female,unknown,NG,False,genderGuesser,unknown
42,Pascale Lamche,Pascale,female,female,ZA,False,genderGuesser,female
43,Kagendo Murungi,Kagendo,female,unknown,KE,False,genderGuesser,unknown
44,Omelga Mthiyane,Omelga,female,unknown,ZA,False,genderGuesser,unknown
45,Alfa Demmellash,Alfa,female,female,ET,False,genderGuesser,female
46,Habiba Marzouk,Habiba,female,female,EG,False,genderGuesser,female
47,Anne-Leen Thorburn,Anne-Leen,female,unknown,,False,genderGuesser,unknown
48,Garcelle Napier,Garcelle,female,unknown,ZA,False,genderGuesser,unknown
49,Jasmin Pillay,Jasmin,female,female,ZA,False,genderGuesser,female
50,Minette Hough,Minette,female,female,,False,genderGuesser,female
51,Fatou Samba,Fatou,female,unknown,SN,False,genderGuesser,unknown
52,Melissa Cohen,Melissa,female,female,ZA,False,genderGuesser,female
53,Sira Jallow,Sira,female,female,GM,False,genderGuesser,female
54,Vivienne Roumani,Vivienne,female,female,LY,False,genderGuesser,female
55,Mariama Sowe,Mariama,female,unknown,GM,False,genderGuesser,unknown
56,Hannah Faal-Heim,Hannah,female,female,GM,False,genderGuesser,female
57,Tsehay Melaku,Tsehay,female,unknown,ET,False,genderGuesser,unknown
58,Tamy Moyo,Tamy,female,unknown,ZW,False,genderGuesser,unknown
59,Alphonse Menyo,Alphonse,female,male,GH,False,genderGuesser,male
60,Chiedza Mhende,Chiedza,female,unknown,ZW,False,genderGuesser,unknown
61,Shana Dowdeswell,Shana,female,female,ZW,False,genderGuesser,female
62,Jean Doyle,Jean,female,male,ZA,False,genderGuesser,male
63,Vivian Ewalefo,Vivian,female,female,NG,False,genderGuesser,female
64,Shudufhadzo Musida,Shudufhadzo,female,unknown,ZA,False,genderGuesser,unknown
65,Catarina Taborda,Catarina,female,female,GW,False,genderGuesser,female
66,Noga Treves,Noga,female,female,,False,genderGuesser,female
67,Fatou Baldeh,Fatou,female,unknown,GM,False,genderGuesser,unknown
68,Fatima Chiguer,Fatima,female,female,MA,False,genderGuesser,female
69,Denise Fernandes,Denise,female,female,,False,genderGuesser,female
70,Agatha Cilliers,Agatha,female,female,ZA,False,genderGuesser,female
71,Alemu Megertu,Alemu,female,unknown,ET,False,genderGuesser,unknown
72,Rahma Tusa,Rahma,female,unknown,ET,False,genderGuesser,unknown
73,Phumzile Sitole,Phumzile,female,unknown,ZA,False,genderGuesser,unknown
74,Rosemary Aluoch,Rosemary,female,female,KE,False,genderGuesser,female
75,Adanech Abebe,Adanech,female,unknown,ET,False,genderGuesser,unknown
76,Charlbi Dean,Charlbi,female,unknown,ZA,False,genderGuesser,unknown
77,Mariam Selim,Mariam,female,female,EG,False,genderGuesser,female
78,Virginia Khunguni,Virginia,female,female,MW,False,genderGuesser,female
79,Leslie Witz,Leslie,female,female,ZA,False,genderGuesser,mostly_female
80,Aisha Tsamiya,Aisha,female,female,NG,False,genderGuesser,female
81,Leila Nakabira,Leila,female,female,UG,False,genderGuesser,female
82,Fati Washa,Fati,female,unknown,NG,False,genderGuesser,unknown
83,Simone Ackermann,Simone,female,female,ZA,False,genderGuesser,female
84,Fati Shu'uma,Fati,female,unknown,NG,False,genderGuesser,unknown
85,Patricia Francourt,Patricia,female,female,SC,False,genderGuesser,female
86,Devika Vidot,Devika,female,unknown,SC,False,genderGuesser,unknown
87,Yola Mgogwana,Yola,female,unknown,ZA,False,genderGuesser,unknown
88,Aliaa Saleh,Aliaa,female,unknown,EG,False,genderGuesser,unknown
89,Sana Elsherbiny,Sana,female,female,EG,False,genderGuesser,female
90,Polina Fouda,Polina,female,female,EG,False,genderGuesser,female
91,Salma Saleh,Salma,female,female,EG,False,genderGuesser,female
92,Tia Sobhy,Tia,female,female,EG,False,genderGuesser,female
93,Malak Selim,Malak,female,male,EG,False,genderGuesser,male
94,Login Elsasyed,Login,female,unknown,EG,False,genderGuesser,unknown
95,Sara Rostom,Sara,female,female,EG,False,genderGuesser,female
96,Janet Karim,Janet,female,female,MW,False,genderGuesser,female
97,Zainab Gimba,Zainab,female,female,NG,False,genderGuesser,female
98,Farah Hussein,Farah,female,female,EG,False,genderGuesser,female
99,Mandy Mohamed,Mandy,female,female,EG,False,genderGuesser,female
100,Farah Salem,Farah,female,female,EG,False,genderGuesser,female
101,Adekemi Adesida,Adekemi,female,unknown,NG,False,genderGuesser,unknown
102,Helen Ocheke,Helen,female,female,NG,False,genderGuesser,female
103,Adenike Oyekunle,Adenike,female,unknown,NG,False,genderGuesser,unknown
104,Oluwadamilola Oluwafemi,Oluwadamilola,female,unknown,NG,False,genderGuesser,unknown
105,Cathryn Credo,Cathryn,female,female,TZ,False,genderGuesser,female
106,Sheila Munyiva,Sheila,female,female,KE,False,genderGuesser,female
107,Michelle Abueng,Michelle,female,female,BW,False,genderGuesser,female
108,Henrietta Mbawah,Henrietta,female,female,SL,False,genderGuesser,female
109,Sanaba Kaba,Sanaba,female,unknown,GN,False,genderGuesser,unknown
110,Davina Itoo,Davina,female,female,MU,False,genderGuesser,female
111,Hannatu Bashir,Hannatu,female,unknown,NG,False,genderGuesser,unknown
112,Fadila Muhammad,Fadila,female,female,NG,False,genderGuesser,female
113,Susan Akene,Susan,female,female,NG,False,genderGuesser,female
114,Yolanda Steyn,Yolanda,female,female,ZA,False,genderGuesser,female
115,Johanna Mafuyana,Johanna,female,female,ZW,False,genderGuesser,female
116,Bouchra Zboured,Bouchra,female,female,MA,False,genderGuesser,female
117,Arlete Bombe,Arlete,female,female,MZ,False,genderGuesser,female
118,Selma Hellal,Selma,female,female,DZ,False,genderGuesser,female
