index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraCount,extraProbability
0,Clara Benson,Clara,female,female,GH,True,genderize.IO,247083,0.99
2,Dalia Ziada,Dalia,female,female,EG,True,genderize.IO,87214,0.99
3,Fatou Haidara,Fatou,female,female,ML,True,genderize.IO,25477,0.98
7,Diallo Sène,Diallo,female,male,ML,True,genderize.IO,8032,0.82
8,Fatoumata Sylla,Fatoumata,female,female,ML,True,genderize.IO,15498,0.99
12,Awa Traoré,Awa,female,female,ML,True,genderize.IO,16472,0.93
17,Lorna Doorman,Lorna,female,female,ZW,True,genderize.IO,53554,1.0
18,Enayat al-Zayyat,Enayat,female,male,EG,True,genderize.IO,1276,0.56
20,Fatima Hellilou,Fatima,female,female,DZ,True,genderize.IO,492364,0.97
21,Fadila Hachemaoui,Fadila,female,female,DZ,True,genderize.IO,10125,0.97
22,Mervat Farrag,Mervat,female,female,EG,True,genderize.IO,21481,0.98
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,True,genderize.IO,14,1.0
24,Bella Keshk,Bella,female,female,EG,True,genderize.IO,113521,0.97
26,Emna Fakher,Emna,female,female,TN,True,genderize.IO,15853,0.97
27,Marianne Khoury,Marianne,female,female,EG,True,genderize.IO,185144,1.0
33,Vicentia Boco,Vicentia,female,female,BJ,True,genderize.IO,176,0.97
34,Therese Soukup,Therese,female,female,SC,True,genderize.IO,55736,1.0
35,Aisha Yesufu,Aisha,female,female,NG,True,genderize.IO,95259,0.98
37,Priscilla Jana,Priscilla,female,female,ZA,True,genderize.IO,119751,1.0
42,Aïcha Macky,Aïcha,female,female,NG,True,genderize.IO,3661,0.97
44,Philippa Ndisi-Herrmann,Philippa,female,female,KE,True,genderize.IO,12767,1.0
46,Bridget Otoo,Bridget,female,female,GH,True,genderize.IO,71713,1.0
47,Branwen Okpako,Branwen,female,female,NG,True,genderize.IO,193,0.97
48,Voahary Rakotovelomanantsoa,Voahary,female,female,MG,True,genderize.IO,15,0.6
50,Sophia Byass,Sophia,female,female,GM,True,genderize.IO,142784,0.99
53,Mandisa Makesini,Mandisa,female,female,ZA,True,genderize.IO,7664,0.96
55,Cynthia Butare,Cynthia,female,female,RW,True,genderize.IO,346628,1.0
