index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraGenderScale,extraScore,extraProbabilityCalibrated,extraScript
4874,ALEKSANYAN Artur,Artur,male,male,AM,False,NamSor,-0.9836597836165593,11.951881956654887,0.9918298918082796,LATIN
4875,AMOYAN Malkhas,Malkhas,male,male,AM,False,NamSor,-0.4536596447371366,3.0681377526867273,0.7268298223685683,LATIN
4876,GALSTYAN Slavik,Slavik,male,male,AM,False,NamSor,-0.9833634761647216,11.897956660876076,0.9916817380823608,LATIN
4877,HARUTYUNYAN Arsen,Arsen,male,male,AM,False,NamSor,-0.9832512372290323,11.878266290683268,0.9916256186145161,LATIN
4878,TEVANYAN Vazgen,Vazgen,male,male,AM,False,NamSor,-0.9718825094686978,10.866444226869916,0.9859412547343489,LATIN
4879,ARENAS Lorena,Lorena,female,female,CO,False,NamSor,0.987474615238511,12.862200294192846,0.9937373076192555,LATIN
4880,McKENZIE Ashley,Ashley,male,female,GB,False,NamSor,0.4744338302696678,3.491055375596126,0.7372169151348339,LATIN
4882,CAMARA Ebrahima,Ebrahima,male,male,GM,False,NamSor,-0.9161023029606721,7.593473495483828,0.958051151480336,LATIN
4885,GRAJALES Crisanto,Crisanto,male,male,MX,False,NamSor,-0.966020772565152,9.321992036791052,0.983010386282576,LATIN
4886,MAAROUFOU Hachim,Hachim,male,male,FR,False,NamSor,-0.9491952817371645,8.221480671150132,0.9745976408685822,LATIN
4887,SAADI Maesha,Maesha,female,female,FR,False,NamSor,0.9667837085108435,9.712164686195692,0.9833918542554217,LATIN
4888,DIOSDADO Nuria,Nuria,female,female,MX,False,NamSor,0.9871891532548176,12.81705671749647,0.9935945766274088,LATIN
4889,JIMENEZ Joana,Joana,female,female,MX,False,NamSor,0.9759302005650128,11.176061721676,0.9879651002825064,LATIN
4890,SOBRINO Jessica,Jessica,female,female,MX,False,NamSor,0.9124033847589483,7.56019019611098,0.9562016923794742,LATIN
4891,ALFEREZ Regina,Regina,female,female,MX,False,NamSor,0.9886897686784544,13.08106605992672,0.9943448843392272,LATIN
4892,ARELLANO Fernanda,Fernanda,female,female,MX,False,NamSor,0.9856806956176136,12.426510660795813,0.9928403478088068,LATIN
4893,TOSCANO Pamela,Pamela,female,female,MX,False,NamSor,0.9827919420783751,11.803847091174298,0.9913959710391875,LATIN
4894,GONZALEZ Itzamary,Itzamary,female,female,MX,False,NamSor,0.873960528001396,7.084560918560882,0.936980264000698,LATIN
4895,RODRIGUEZ Samanta,Samanta,female,female,MX,False,NamSor,0.9833509570673196,11.895741094121718,0.9916754785336598,LATIN
4896,INZUNZA Glenda,Glenda,female,female,MX,False,NamSor,0.9840435926598052,12.026354877996383,0.9920217963299026,LATIN
4897,SEHEN Sajjad,Sajjad,male,male,IQ,False,NamSor,-0.9907213486239332,13.38568395866541,0.9953606743119666,LATIN
4899,ISMAIL Mohamed,Mohamed,male,male,DJ,False,NamSor,-0.9950628607505512,14.016614824089828,0.9975314303752756,LATIN
4900,HASSAN Ibrahim,Ibrahim,male,male,DJ,False,NamSor,-0.9810595731350393,11.601689898549857,0.9905297865675197,LATIN
4901,WAISS Abdi,Abdi,male,male,DJ,False,NamSor,-0.9668246605252673,9.7381142276069,0.9834123302626336,LATIN
4904,BARAT Andy,Andy,male,male,KM,False,NamSor,-0.48772158402013144,3.88903858807177,0.7438607920100657,LATIN
4907,GONZALEZ Alegna,Alegna,female,female,MX,False,NamSor,0.9837497214509585,11.968842204733754,0.9918748607254793,LATIN
4909,PORTILLO Erick,Erick,male,male,MX,False,NamSor,-0.9719910578092532,10.901857520374065,0.9859955289046266,LATIN
4910,MUNOZ Uziel,Uziel,male,male,MX,False,NamSor,-0.9690061450240273,10.303924354702154,0.9845030725120136,LATIN
4913,MORAN Paola,Paola,female,female,MX,False,NamSor,0.960087004756131,8.558554060818459,0.9800435023780655,LATIN
4914,GALVAN Laura,Laura,female,female,MX,False,NamSor,0.9746993649520337,11.097387110907007,0.9873496824760168,LATIN
4923,BLANCO Luisa,Luisa,female,female,US,False,NamSor,0.9867125846863785,12.74595560326069,0.9933562923431892,LATIN
4930,FERNANDEZ Federico,Federico,male,male,MX,False,NamSor,-0.9723314346029472,10.961496170690296,0.9861657173014736,LATIN
4932,MORENO Alexa,Alexa,female,female,MX,False,NamSor,0.9789922292387077,11.404129957585646,0.9894961146193538,LATIN
4933,SANDOVAL Ahtziri,Ahtziri,female,female,MX,False,NamSor,0.9755878114754566,11.15354775267214,0.9877939057377283,LATIN
4934,FLORES Sofia,Sofia,female,female,MX,False,NamSor,0.9782435073970395,11.343105628395314,0.9891217536985197,LATIN
4935,SALAZAR Kimberly,Kimberly,female,female,MX,False,NamSor,0.9711855353875558,10.664805513376955,0.9855927676937779,LATIN
4936,TEJEDA Adirem,Adirem,female,female,MX,False,NamSor,0.4823222115166408,3.708820535399383,0.7411611057583204,LATIN
4937,ALCOCER Dalia,Dalia,female,female,MX,False,NamSor,0.9864098627600129,12.67389831575521,0.9932049313800064,LATIN
4938,GUTIERREZ Julia,Julia,female,female,MX,False,NamSor,0.981161897261323,11.612559839176967,0.9905809486306615,LATIN
4939,HERNANDEZ Emiliano,Emiliano,male,male,MX,False,NamSor,-0.96473936787784,8.888494170346881,0.98236968393892,LATIN
4940,CARRILLO Duilio,Duilio,male,male,MX,False,NamSor,-0.9706117557738783,10.526690336089068,0.9853058778869391,LATIN
4941,OLIVER Mayan,Mayan,female,female,MX,False,NamSor,0.4595372011371974,3.1720062419607515,0.7297686005685987,LATIN
4942,SANSORES Carlos,Carlos,male,male,MX,False,NamSor,-0.9805020075875026,11.544450068347452,0.9902510037937513,LATIN
4945,GRIGORIAN Aram,Aram,male,male,RU,False,NamSor,-0.8247864605303903,6.292664734339347,0.9123932302651951,LATIN
4946,KOSTOEV Dzhafar,Dzhafar,male,male,RU,False,NamSor,-0.9661290310149113,9.368918497278806,0.9830645155074557,LATIN
