index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraGenderScale,extraScore,extraProbabilityCalibrated,extraScript
0,Clara Benson,Clara,female,female,GH,True,NamSor,0.9990987519529841,15.669215771251125,0.9995493759764921,LATIN
2,Dalia Ziada,Dalia,female,female,EG,True,NamSor,0.9987891969534191,15.373957145357977,0.9993945984767095,LATIN
3,Fatou Haidara,Fatou,female,female,ML,True,NamSor,0.9876191183146776,12.789983868528964,0.9938095591573388,LATIN
7,Diallo Sène,Diallo,female,female,ML,True,NamSor,0.3100454410080049,1.876021513840307,0.6550227205040025,LATIN
8,Fatoumata Sylla,Fatoumata,female,female,ML,True,NamSor,0.9999909672403049,20.27213848846514,0.9999954836201524,LATIN
12,Awa Traoré,Awa,female,female,ML,True,NamSor,0.9999898195562786,20.1525278253335,0.9999949097781393,LATIN
17,Lorna Doorman,Lorna,female,female,ZW,True,NamSor,0.9992707351167542,15.880959304785591,0.9996353675583771,LATIN
18,Enayat al-Zayyat,Enayat,female,male,EG,True,NamSor,-0.9712838595532385,10.579772618462272,0.9856419297766192,LATIN
20,Fatima Hellilou,Fatima,female,female,DZ,True,NamSor,0.9999820303373641,19.58431154002635,0.999991015168682,LATIN
21,Fadila Hachemaoui,Fadila,female,female,DZ,True,NamSor,0.9903513283740943,13.298419242527942,0.9951756641870472,LATIN
22,Mervat Farrag,Mervat,female,female,EG,True,NamSor,0.43166372219009563,2.8535167020866794,0.7158318610950478,LATIN
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,True,NamSor,0.9991695806349228,15.751065472982987,0.9995847903174614,LATIN
24,Bella Keshk,Bella,female,female,EG,True,NamSor,0.9898940519706001,13.252115249285495,0.9949470259853,LATIN
26,Emna Fakher,Emna,female,female,TN,True,NamSor,0.9984166401968584,15.105691847975294,0.9992083200984292,LATIN
27,Marianne Khoury,Marianne,female,female,EG,True,NamSor,0.9989293263359673,15.496952941605436,0.9994646631679837,LATIN
33,Vicentia Boco,Vicentia,female,female,BJ,True,NamSor,0.9976258434945249,14.700598538615537,0.9988129217472624,LATIN
34,Therese Soukup,Therese,female,female,SC,True,NamSor,0.9910994830143902,13.379130259739398,0.9955497415071951,LATIN
35,Aisha Yesufu,Aisha,female,female,NG,True,NamSor,0.9999339749577549,18.282962333697732,0.9999669874788775,LATIN
37,Priscilla Jana,Priscilla,female,female,ZA,True,NamSor,0.9995549851199521,16.374888650808415,0.999777492559976,LATIN
42,Aïcha Macky,Aïcha,female,female,NG,True,NamSor,0.9970353241288046,14.478472946564857,0.9985176620644023,LATIN
44,Philippa Ndisi-Herrmann,Philippa,female,female,KE,True,NamSor,0.9936798134402225,13.721491345009959,0.9968399067201112,LATIN
46,Bridget Otoo,Bridget,female,female,GH,True,NamSor,0.9747691008342176,10.98712099917168,0.9873845504171088,LATIN
47,Branwen Okpako,Branwen,female,female,NG,True,NamSor,0.9625229263189834,8.906670176424548,0.9812614631594917,LATIN
48,Voahary Rakotovelomanantsoa,Voahary,female,male,MG,True,NamSor,-0.15441818579655653,1.1263071695141988,0.5772090928982783,LATIN
50,Sophia Byass,Sophia,female,female,GM,True,NamSor,0.9879333760649234,12.948895761394908,0.9939666880324617,LATIN
53,Mandisa Makesini,Mandisa,female,female,ZA,True,NamSor,0.9964432073615042,14.296381357503186,0.9982216036807521,LATIN
55,Cynthia Butare,Cynthia,female,female,RW,True,NamSor,0.9972903197692757,14.568410067254618,0.9986451598846379,LATIN
57,Sakina Safadi,Sakina,female,female,MA,True,NamSor,0.9991914996147371,15.77781515264067,0.9995957498073685,LATIN
58,Laura Musanase,Laura,female,female,TZ,True,NamSor,0.9980283573361723,14.886373792687856,0.9990141786680862,LATIN
59,Munezero Aline,Munezero,female,female,RW,True,NamSor,0.7680010104970458,5.53502644514397,0.8840005052485229,LATIN
61,Nadège Uwamwezi,Nadège,female,female,RW,True,NamSor,0.9880951121210353,13.041715601008455,0.9940475560605176,LATIN
63,Martine Oulabou,Martine,female,female,GA,True,NamSor,0.9994339074916465,16.134238842550864,0.9997169537458233,LATIN
64,Ayyam Sureau,Ayyam,female,female,EG,True,NamSor,0.8485731324947932,6.706272584253767,0.9242865662473966,LATIN
65,Catherine Kamau,Catherine,female,female,KE,True,NamSor,0.9974189766516448,14.61705475456845,0.9987094883258224,LATIN
66,Aïcha Boro,Aïcha,female,female,BF,True,NamSor,0.9991417781893379,15.718133713095604,0.999570889094669,LATIN
67,Fay Goldie,Fay,female,female,ZA,True,NamSor,0.969733848284358,10.293276374994008,0.984866924142179,LATIN
68,Aderonke Adeola,Aderonke,female,female,NG,True,NamSor,0.9964351764884258,14.294126003750733,0.9982175882442129,LATIN
69,Pascale Lamche,Pascale,female,female,ZA,True,NamSor,0.9950183223365769,13.959473589633738,0.9975091611682885,LATIN
70,Kagendo Murungi,Kagendo,female,male,KE,True,NamSor,-0.24636612205374697,1.5584523050275365,0.6231830610268735,LATIN
71,Omelga Mthiyane,Omelga,female,female,ZA,True,NamSor,0.21364576267406354,1.4181781333271033,0.6068228813370318,LATIN
74,Alfa Demmellash,Alfa,female,male,ET,True,NamSor,-0.7984716428425112,5.986506082845288,0.8992358214212556,LATIN
76,Habiba Marzouk,Habiba,female,female,EG,True,NamSor,0.9999491227392663,18.543580349514436,0.9999745613696331,LATIN
78,Garcelle Napier,Garcelle,female,female,ZA,True,NamSor,0.9990235143643011,15.589036238557362,0.9995117571821506,LATIN
84,Jasmin Pillay,Jasmin,female,female,ZA,True,NamSor,0.9621129972366886,8.836539299195053,0.9810564986183443,LATIN
87,Fatou Samba,Fatou,female,female,SN,True,NamSor,0.9726725112163341,10.813291569881613,0.9863362556081671,LATIN
89,Melissa Cohen,Melissa,female,female,ZA,True,NamSor,0.9995558254181549,16.376778684873166,0.9997779127090775,LATIN
90,Sira Jallow,Sira,female,female,GM,True,NamSor,0.987194778687869,12.608999455917179,0.9935973893439345,LATIN
91,Vivienne Roumani,Vivienne,female,female,LY,True,NamSor,0.9952118215626904,13.999090283207387,0.9976059107813452,LATIN
94,Mariama Sowe,Mariama,female,female,GM,True,NamSor,0.999481020223739,16.22113144262292,0.9997405101118695,LATIN
95,Hannah Faal-Heim,Hannah,female,female,GM,True,NamSor,0.9838648612626757,12.140417553123882,0.9919324306313378,LATIN
96,Tsehay Melaku,Tsehay,female,female,ET,True,NamSor,0.976249849369137,11.131090183187652,0.9881249246845685,LATIN
97,Tamy Moyo,Tamy,female,female,ZW,True,NamSor,0.9780108718853118,11.302365141494974,0.9890054359426559,LATIN
98,Alphonse Menyo,Alphonse,female,male,GH,True,NamSor,-0.9699571471233859,10.373540092900285,0.9849785735616929,LATIN
99,Chiedza Mhende,Chiedza,female,female,ZW,True,NamSor,0.9880431924485906,13.010969937583624,0.9940215962242953,LATIN
100,Shana Dowdeswell,Shana,female,female,ZW,True,NamSor,0.9989576468693064,15.523760206449296,0.9994788234346532,LATIN
101,Jean Doyle,Jean,female,male,ZA,True,NamSor,-0.9029416328868207,7.344792794450214,0.9514708164434104,LATIN
103,Vivian Ewalefo,Vivian,female,female,NG,True,NamSor,0.9760851194294211,11.114010362897517,0.9880425597147106,LATIN
104,Shudufhadzo Musida,Shudufhadzo,female,male,ZA,True,NamSor,-0.20391370495714,1.3787068750075375,0.60195685247857,LATIN
105,Catarina Taborda,Catarina,female,female,GW,True,NamSor,0.9996945979904615,16.75136742389256,0.9998472989952307,LATIN
107,Fatou Baldeh,Fatou,female,female,GM,True,NamSor,0.9816865564043371,11.683392505570879,0.9908432782021686,LATIN
108,Fatima Chiguer,Fatima,female,female,MA,True,NamSor,0.9999540034906431,18.644430925970866,0.9999770017453216,LATIN
110,Agatha Cilliers,Agatha,female,female,ZA,True,NamSor,0.9926691351413659,13.573146398101706,0.996334567570683,LATIN
111,Alemu Megertu,Alemu,female,male,ET,True,NamSor,-0.9569713465047667,8.387122334918146,0.9784856732523833,LATIN
112,Rahma Tusa,Rahma,female,female,ET,True,NamSor,0.9688813766404532,10.035193528668444,0.9844406883202266,LATIN
