index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraGenderScale,extraScore,extraProbabilityCalibrated,extraScript
0,Clara Benson,Clara,female,female,GH,False,NamSor,0.9843681313027788,12.093966304012966,0.9921840656513894,LATIN
2,Dalia Ziada,Dalia,female,female,EG,False,NamSor,0.9864098627600129,12.67389831575521,0.9932049313800064,LATIN
3,Fatou Haidara,Fatou,female,female,ML,False,NamSor,0.9630177527018902,8.663080615246287,0.9815088763509451,LATIN
4,Claude Haffner,Claude,female,male,,False,NamSor,-0.5511431824161042,4.129962493030355,0.7755715912080521,LATIN
7,Diallo Sène,Diallo,female,male,ML,False,NamSor,-0.8687561037296105,6.984415539284591,0.9343780518648053,LATIN
8,Fatoumata Sylla,Fatoumata,female,female,ML,False,NamSor,0.9862415016237647,12.611105171940942,0.9931207508118823,LATIN
11,Manuella Ollo,Manuella,female,female,,False,NamSor,0.9884358646109748,13.031207790305494,0.9942179323054874,LATIN
12,Awa Traoré,Awa,female,female,ML,False,NamSor,0.985184394046219,12.287469795375095,0.9925921970231095,LATIN
17,Lorna Doorman,Lorna,female,female,ZW,False,NamSor,0.9856007520664689,12.402766546504317,0.9928003760332345,LATIN
18,Enayat al-Zayyat,Enayat,female,male,EG,False,NamSor,-0.8013337475026314,5.961227481484485,0.9006668737513157,LATIN
20,Fatima Hellilou,Fatima,female,female,DZ,False,NamSor,0.9829895395893664,11.833808087483739,0.9914947697946832,LATIN
21,Fadila Hachemaoui,Fadila,female,female,DZ,False,NamSor,0.9720427531237255,10.919174067246445,0.9860213765618627,LATIN
22,Mervat Farrag,Mervat,female,female,EG,False,NamSor,0.8791140678718712,7.194692188871457,0.9395570339359356,LATIN
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,False,NamSor,0.9671661467177322,9.9855684319174,0.9835830733588661,LATIN
24,Bella Keshk,Bella,female,female,EG,False,NamSor,0.9811735341108598,11.61380354323203,0.9905867670554299,LATIN
25,Magda Saleh,Magda,female,female,,False,NamSor,0.9815553730567319,11.655495631994754,0.990777686528366,LATIN
26,Emna Fakher,Emna,female,female,TN,False,NamSor,0.9772207865431162,11.265795550999464,0.9886103932715581,LATIN
