person,person_label,genders,dobs,countries,continents,hasMiddleName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason,surName,lastName,iso_country
http://www.wikidata.org/entity/Q100065772,Clara Benson,female,2000-08-19T00:00:00Z,Ghana,Africa,False,False,Clara Benson,False,,Clara,Benson,GH
http://www.wikidata.org/entity/Q100136959,Esther Ruth Mbabazi,female,1995-01-01T00:00:00Z,Uganda,Africa,True,False,Esther Ruth Mbabazi,True,middleName,,,UG
http://www.wikidata.org/entity/Q100146654,Dalia Ziada,female,1982-01-01T00:00:00Z,Egypt,Africa,False,False,Dalia Ziada,False,,Dalia,Ziada,EG
http://www.wikidata.org/entity/Q100152601,Fatou Haidara,female,1962-01-01T00:00:00Z,Mali,Africa,False,False,Fatou Haidara,False,,Fatou,Haidara,ML
http://www.wikidata.org/entity/Q100165910,Claude Haffner,female,1976-01-01T00:00:00Z,Democratic Republic of the Congo,,False,False,Claude Haffner,False,,Claude,Haffner,
http://www.wikidata.org/entity/Q100214040,Bâ Odette Yattara,female,1944-01-01T00:00:00Z,Mali,Africa,True,False,Bâ Odette Yattara,True,middleName|non_ascii,,,ML
http://www.wikidata.org/entity/Q100230407,Traoré Oumou Touré,female,1950-01-01T00:00:00Z,Mali,Africa,True,False,Traoré Oumou Touré,True,middleName|non_ascii,,,ML
http://www.wikidata.org/entity/Q100233625,Diallo Sène,female,1952-07-01T00:00:00Z,Mali,Africa,False,False,Diallo Sène,True,non_ascii,Diallo,Sène,ML
http://www.wikidata.org/entity/Q100233649,Fatoumata Sylla,female,1954-12-11T00:00:00Z,Mali,Africa,False,False,Fatoumata Sylla,False,,Fatoumata,Sylla,ML
http://www.wikidata.org/entity/Q100233714,Maïga Zeïnab Mint Youba,female,1955-11-30T00:00:00Z,Mali,Africa,True,False,Maïga Zeïnab Mint Youba,True,middleName|non_ascii,,,ML
http://www.wikidata.org/entity/Q100233791,Soumaré Aminata Sidibé,female,1954-01-01T00:00:00Z,Mali,Africa,True,False,Soumaré Aminata Sidibé,True,middleName|non_ascii,,,ML
http://www.wikidata.org/entity/Q100243004,Manuella Ollo,female,1985-08-16T00:00:00Z,Ivory Coast,,False,False,Manuella Ollo,False,,Manuella,Ollo,
http://www.wikidata.org/entity/Q100249616,Awa Traoré,female,1980-01-01T00:00:00Z,Mali,Africa,False,False,Awa Traoré,True,non_ascii,Awa,Traoré,ML
http://www.wikidata.org/entity/Q100250433,Ba Hawa Keita,female,1952-10-20T00:00:00Z,Mali,Africa,True,False,Ba Hawa Keita,True,middleName,,,ML
http://www.wikidata.org/entity/Q100250623,Bâ Fatoumata Nènè Sy,female,1959-07-03T00:00:00Z,Mali,Africa,True,False,Bâ Fatoumata Nènè Sy,True,middleName|non_ascii,,,ML
http://www.wikidata.org/entity/Q100251399,Maïga Sina Damba,female,1957-11-16T00:00:00Z,Mali,Africa,True,False,Maïga Sina Damba,True,middleName|non_ascii,,,ML
http://www.wikidata.org/entity/Q100255653,Erlyne Antonella Ndembet,female,1971-01-01T00:00:00Z,Gabon,Africa,True,False,Erlyne Antonella Ndembet,True,middleName,,,GA
http://www.wikidata.org/entity/Q100256832,Lorna Doorman,female,1998-04-15T00:00:00Z,Zimbabwe,Africa,False,False,Lorna Doorman,False,,Lorna,Doorman,ZW
http://www.wikidata.org/entity/Q100258380,Enayat al-Zayyat,female,1936-03-23T00:00:00Z,Egypt,Africa,False,False,Enayat al-Zayyat,True,hyphen,Enayat,al-Zayyat,EG
http://www.wikidata.org/entity/Q100258634,Arafa Abdel Rasoul,female,1954-02-19T00:00:00Z,Egypt,Africa,True,False,Arafa Abdel Rasoul,True,middleName,,,EG
http://www.wikidata.org/entity/Q100258796,Fatima Hellilou,female,1955-01-01T00:00:00Z,Algeria,Africa,False,False,Fatima Hellilou,False,,Fatima,Hellilou,DZ
http://www.wikidata.org/entity/Q100258808,Fadila Hachemaoui,female,1955-01-01T00:00:00Z,Algeria,Africa,False,False,Fadila Hachemaoui,False,,Fadila,Hachemaoui,DZ
http://www.wikidata.org/entity/Q100258880,Mervat Farrag,female,1960-07-15T00:00:00Z,Egypt,Africa,False,False,Mervat Farrag,False,,Mervat,Farrag,EG
