,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source
0,Clara Benson,Clara,Benson,female,GH,Africa,2000,False,False,wikidata
1,Esther Ruth Mbabazi,,,female,UG,Africa,1995,True,False,wikidata
2,Dalia Ziada,Dalia,Ziada,female,EG,Africa,1982,False,False,wikidata
3,Fatou Haidara,Fatou,Haidara,female,ML,Africa,1962,False,False,wikidata
4,Claude Haffner,Claude,Haffner,female,,Africa,1976,False,False,wikidata
5,Bâ Odette Yattara,,,female,ML,Africa,1944,True,False,wikidata
6,Traoré Oumou Touré,,,female,ML,Africa,1950,True,False,wikidata
7,Diallo Sène,,,female,ML,Africa,1952,False,False,wikidata
8,Fatoumata Sylla,Fatoumata,Sylla,female,ML,Africa,1954,False,False,wikidata
9,Maïga Zeïnab Mint Youba,,,female,ML,Africa,1955,True,False,wikidata
10,Soumaré Aminata Sidibé,,,female,ML,Africa,1954,True,False,wikidata
11,Manuella Ollo,Manuella,Ollo,female,,Africa,1985,False,False,wikidata
12,Awa Traoré,,,female,ML,Africa,1980,False,False,wikidata
13,Ba Hawa Keita,,,female,ML,Africa,1952,True,False,wikidata
14,Bâ Fatoumata Nènè Sy,,,female,ML,Africa,1959,True,False,wikidata
15,Maïga Sina Damba,,,female,ML,Africa,1957,True,False,wikidata
16,Erlyne Antonella Ndembet,,,female,GA,Africa,1971,True,False,wikidata
17,Lorna Doorman,Lorna,Doorman,female,ZW,Africa,1998,False,False,wikidata
18,Enayat al-Zayyat,,,female,EG,Africa,1936,False,False,wikidata
19,Arafa Abdel Rasoul,,,female,EG,Africa,1954,True,False,wikidata
20,Fatima Hellilou,Fatima,Hellilou,female,DZ,Africa,1955,False,False,wikidata
21,Fadila Hachemaoui,Fadila,Hachemaoui,female,DZ,Africa,1955,False,False,wikidata
22,Mervat Farrag,Mervat,Farrag,female,EG,Africa,1960,False,False,wikidata
23,Ghaniyya Bouhouia,Ghaniyya,Bouhouia,female,DZ,Africa,1988,False,False,wikidata
24,Bella Keshk,Bella,Keshk,female,EG,Africa,1994,False,False,wikidata
25,Magda Saleh,Magda,Saleh,female,,Africa,1943,False,False,wikidata
26,Emna Fakher,Emna,Fakher,female,TN,Africa,1981,False,False,wikidata
