index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraTotalName,extraProbability,extraCountryUsedByService,extraUsedAI,extraForcedGenderize,isCorrect,source
4874,ALEKSANYAN Artur,artur,male,male,AM,False,genderAPI.io,6063,99,BR,False,False,True,kaggle
4875,AMOYAN Malkhas,malkhas,male,male,AM,False,genderAPI.io,1,98,AM,False,False,True,kaggle
4876,GALSTYAN Slavik,slavik,male,male,AM,False,genderAPI.io,346,100,UA,False,False,True,kaggle
4877,HARUTYUNYAN Arsen,arsen,male,male,AM,False,genderAPI.io,790,97,RU,False,False,True,kaggle
4878,TEVANYAN Vazgen,vazgen,male,male,AM,False,genderAPI.io,51,100,AM,False,False,True,kaggle
4879,ARENAS Lorena,lorena,female,female,CO,False,genderAPI.io,15649,100,BR,False,False,True,kaggle
4880,McKENZIE Ashley,ashley,male,female,GB,False,genderAPI.io,54865,95,US,False,False,False,kaggle
4882,CAMARA Ebrahima,ebrahima,male,male,GM,False,genderAPI.io,1,98,GN,False,False,True,kaggle
4885,GRAJALES Crisanto,crisanto,male,male,MX,False,genderAPI.io,68,100,PH,False,False,True,kaggle
4886,MAAROUFOU Hachim,hachim,male,male,FR,False,genderAPI.io,13,100,MA,False,False,True,kaggle
4887,SAADI Maesha,maesha,female,female,FR,False,genderAPI.io,14,93,US,False,False,True,kaggle
4888,DIOSDADO Nuria,nuria,female,female,MX,False,genderAPI.io,1867,99,ES,False,False,True,kaggle
4889,JIMENEZ Joana,joana,female,female,MX,False,genderAPI.io,6433,99,BR,False,False,True,kaggle
4890,SOBRINO Jessica,jessica,female,female,MX,False,genderAPI.io,89925,100,US,False,False,True,kaggle
4891,ALFEREZ Regina,regina,female,female,MX,False,genderAPI.io,13311,99,BR,False,False,True,kaggle
4892,ARELLANO Fernanda,fernanda,female,female,MX,False,genderAPI.io,42791,99,BR,False,False,True,kaggle
4893,TOSCANO Pamela,pamela,female,female,MX,False,genderAPI.io,18683,100,US,False,False,True,kaggle
4894,GONZALEZ Itzamary,itzamary,female,female,MX,False,genderAPI.io,4,100,MX,False,False,True,kaggle
4895,RODRIGUEZ Samanta,samanta,female,female,MX,False,genderAPI.io,2037,99,BR,False,False,True,kaggle
4896,INZUNZA Glenda,glenda,female,female,MX,False,genderAPI.io,2447,100,US,False,False,True,kaggle
