index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraTotalName,extraProbability,extraCountryUsedByService,extraUsedAI,extraForcedGenderize,isCorrect,source
0,Clara Benson,clara,female,female,GH,True,genderAPI.io,1,100,GH,False,False,True,wikidata
2,Dalia Ziada,dalia,female,female,EG,True,genderAPI.io,213,100,EG,False,False,True,wikidata
3,Fatou Haidara,fatou,female,female,ML,True,genderAPI.io,121,100,US,False,False,True,wikidata
7,Diallo Sène,diallo,female,male,ML,True,genderAPI.io,1,100,ML,False,False,False,wikidata
8,Fatoumata Sylla,fatoumata,female,female,ML,True,genderAPI.io,1,100,ML,False,False,True,wikidata
12,Awa Traoré,awa,female,female,ML,True,genderAPI.io,178,60,ID,False,False,True,wikidata
17,Lorna Doorman,lorna,female,female,ZW,True,genderAPI.io,1,100,ZW,False,False,True,wikidata
18,Enayat al-Zayyat,enayat,female,male,EG,True,genderAPI.io,12,100,IN,False,False,False,wikidata
20,Fatima Hellilou,fatima,female,female,DZ,True,genderAPI.io,7,100,DZ,False,False,True,wikidata
21,Fadila Hachemaoui,fadila,female,female,DZ,True,genderAPI.io,303,91,ID,False,False,True,wikidata
22,Mervat Farrag,mervat,female,female,EG,True,genderAPI.io,30,97,EG,False,False,True,wikidata
23,Ghaniyya Bouhouia,ghaniyya,female,female,DZ,True,genderAPI.io,5,80,ID,False,False,True,wikidata
24,Bella Keshk,bella,female,female,EG,True,genderAPI.io,6,83,EG,False,False,True,wikidata
26,Emna Fakher,emna,female,female,TN,True,genderAPI.io,314,99,TN,False,False,True,wikidata
27,Marianne Khoury,marianne,female,female,EG,True,genderAPI.io,16,100,EG,False,False,True,wikidata
33,Vicentia Boco,vicentia,female,female,BJ,True,genderAPI.io,7,100,ID,False,False,True,wikidata
34,Therese Soukup,therese,female,female,SC,True,genderAPI.io,1161,99,US,False,False,True,wikidata
35,Aisha Yesufu,aisha,female,female,NG,True,genderAPI.io,63,98,NG,False,False,True,wikidata
37,Priscilla Jana,priscilla,female,female,ZA,True,genderAPI.io,21,100,ZA,False,False,True,wikidata
42,Aïcha Macky,aïcha,female,female,NG,True,genderAPI.io,59,97,BE,False,False,True,wikidata
44,Philippa Ndisi-Herrmann,philippa,female,female,KE,True,genderAPI.io,278,99,GB,False,False,True,wikidata
46,Bridget Otoo,bridget,female,female,GH,True,genderAPI.io,5,100,GH,False,False,True,wikidata
