index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraTotalName,extraProbability,extraCountryUsedByService,extraUsedAI,extraForcedGenderize,source
0,Clara Benson,clara,female,female,GH,False,genderAPI.io,9346,99,BR,False,False,wikidata
2,Dalia Ziada,dalia,female,female,EG,False,genderAPI.io,2134,100,MX,False,False,wikidata
3,Fatou Haidara,fatou,female,female,ML,False,genderAPI.io,121,100,US,False,False,wikidata
4,Claude Haffner,claude,female,male,,False,genderAPI.io,1561,91,US,False,False,wikidata
7,Diallo Sène,diallo,female,male,ML,False,genderAPI.io,79,90,US,False,False,wikidata
8,Fatoumata Sylla,fatoumata,female,female,ML,False,genderAPI.io,50,100,US,False,False,wikidata
11,Manuella Ollo,manuella,female,female,,False,genderAPI.io,744,99,BR,False,False,wikidata
12,Awa Traoré,awa,female,female,ML,False,genderAPI.io,178,60,ID,False,False,wikidata
17,Lorna Doorman,lorna,female,female,ZW,False,genderAPI.io,1230,100,US,False,False,wikidata
18,Enayat al-Zayyat,enayat,female,male,EG,False,genderAPI.io,12,100,IN,False,False,wikidata
20,Fatima Hellilou,fatima,female,female,DZ,False,genderAPI.io,9762,99,BR,False,False,wikidata
21,Fadila Hachemaoui,fadila,female,female,DZ,False,genderAPI.io,303,91,ID,False,False,wikidata
22,Mervat Farrag,mervat,female,female,EG,False,genderAPI.io,86,97,EG,False,False,wikidata
23,Ghaniyya Bouhouia,ghaniyya,female,female,DZ,False,genderAPI.io,5,80,ID,False,False,wikidata
24,Bella Keshk,bella,female,female,EG,False,genderAPI.io,7604,97,ID,False,False,wikidata
25,Magda Saleh,magda,female,female,,False,genderAPI.io,3733,99,BR,False,False,wikidata
26,Emna Fakher,emna,female,female,TN,False,genderAPI.io,542,99,TN,False,False,wikidata
27,Marianne Khoury,marianne,female,female,EG,False,genderAPI.io,4397,100,US,False,False,wikidata
33,Vicentia Boco,vicentia,female,female,BJ,False,genderAPI.io,7,100,ID,False,False,wikidata
