index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extra_useFullName,extraProbability,extraIdentifiedFirstName,extraIdentifiedLastName,isCorrect,source
0,Clara Benson,Clara,female,female,GH,True,genderAPI.com,False,0.98,Clara,,True,wikidata
2,Dalia Ziada,Dalia,female,female,EG,True,genderAPI.com,False,0.98,Dalia,,True,wikidata
3,Fatou Haidara,Fatou,female,female,ML,True,genderAPI.com,False,0.97,Fatou,,True,wikidata
7,Diallo Sène,Diallo,female,male,ML,True,genderAPI.com,False,0.86,Diallo,,False,wikidata
8,Fatoumata Sylla,Fatoumata,female,female,ML,True,genderAPI.com,False,0.98,Fatoumata,,True,wikidata
12,Awa Traoré,Awa,female,female,ML,True,genderAPI.com,False,0.99,Awa,,True,wikidata
17,Lorna Doorman,Lorna,female,female,ZW,True,genderAPI.com,False,1.0,Lorna,,True,wikidata
18,Enayat al-Zayyat,Enayat,female,male,EG,True,genderAPI.com,False,0.93,Enayat,,False,wikidata
20,Fatima Hellilou,Fatima,female,female,DZ,True,genderAPI.com,False,0.98,Fatima,,True,wikidata
21,Fadila Hachemaoui,Fadila,female,female,DZ,True,genderAPI.com,False,0.97,Fadila,,True,wikidata
22,Mervat Farrag,Mervat,female,female,EG,True,genderAPI.com,False,0.98,Mervat,,True,wikidata
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,True,genderAPI.com,False,0.75,Ghaniyya,,True,wikidata
24,Bella Keshk,Bella,female,female,EG,True,genderAPI.com,False,0.86,Bella,,True,wikidata
26,Emna Fakher,Emna,female,female,TN,True,genderAPI.com,False,0.99,Emna,,True,wikidata
27,Marianne Khoury,Marianne,female,female,EG,True,genderAPI.com,False,1.0,Marianne,,True,wikidata
33,Vicentia Boco,Vicentia,female,female,BJ,True,genderAPI.com,False,1.0,Vicentia,,True,wikidata
34,Therese Soukup,Therese,female,female,SC,True,genderAPI.com,False,1.0,Therese,,True,wikidata
35,Aisha Yesufu,Aisha,female,female,NG,True,genderAPI.com,False,0.98,Aisha,,True,wikidata
37,Priscilla Jana,Priscilla,female,female,ZA,True,genderAPI.com,False,0.98,Priscilla,,True,wikidata
42,Aïcha Macky,Aïcha,female,female,NG,True,genderAPI.com,False,0.99,Aïcha,,True,wikidata
44,Philippa Ndisi-Herrmann,Philippa,female,female,KE,True,genderAPI.com,False,0.98,Philippa,,True,wikidata
46,Bridget Otoo,Bridget,female,female,GH,True,genderAPI.com,False,0.98,Bridget,,True,wikidata
47,Branwen Okpako,Branwen,female,female,NG,True,genderAPI.com,False,0.77,Branwen,,True,wikidata
48,Voahary Rakotovelomanantsoa,Voahary,female,female,MG,True,genderAPI.com,False,0.67,Voahary,,True,wikidata
50,Sophia Byass,Sophia,female,female,GM,True,genderAPI.com,False,0.98,Sophia,,True,wikidata
