index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extra_useFullName,extraProbability,extraIdentifiedFirstName,extraIdentifiedLastName,isCorrect,source
0,Clara Benson,Clara,female,female,GH,False,genderAPI.com,False,0.97,Clara,,True,wikidata
2,Dalia Ziada,Dalia,female,female,EG,False,genderAPI.com,False,0.99,Dalia,,True,wikidata
3,Fatou Haidara,Fatou,female,female,ML,False,genderAPI.com,False,0.97,Fatou,,True,wikidata
4,Claude Haffner,Claude,female,male,,False,genderAPI.com,False,0.89,Claude,,False,wikidata
7,Diallo Sène,Diallo,female,male,ML,False,genderAPI.com,False,0.81,Diallo,,False,wikidata
8,Fatoumata Sylla,Fatoumata,female,female,ML,False,genderAPI.com,False,0.98,Fatoumata,,True,wikidata
11,Manuella Ollo,Manuella,female,female,,False,genderAPI.com,False,0.98,Manuella,,True,wikidata
12,Awa Traoré,Awa,female,female,ML,False,genderAPI.com,False,0.94,Awa,,True,wikidata
17,Lorna Doorman,Lorna,female,female,ZW,False,genderAPI.com,False,0.97,Lorna,,True,wikidata
18,Enayat al-Zayyat,Enayat,female,male,EG,False,genderAPI.com,False,0.93,Enayat,,False,wikidata
20,Fatima Hellilou,Fatima,female,female,DZ,False,genderAPI.com,False,0.98,Fatima,,True,wikidata
21,Fadila Hachemaoui,Fadila,female,female,DZ,False,genderAPI.com,False,0.96,Fadila,,True,wikidata
22,Mervat Farrag,Mervat,female,female,EG,False,genderAPI.com,False,0.97,Mervat,,True,wikidata
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,False,genderAPI.com,False,0.75,Ghaniyya,,True,wikidata
24,Bella Keshk,Bella,female,female,EG,False,genderAPI.com,False,0.95,Bella,,True,wikidata
25,Magda Saleh,Magda,female,female,,False,genderAPI.com,False,0.98,Magda,,True,wikidata
26,Emna Fakher,Emna,female,female,TN,False,genderAPI.com,False,0.98,Emna,,True,wikidata
27,Marianne Khoury,Marianne,female,female,EG,False,genderAPI.com,False,0.98,Marianne,,True,wikidata
33,Vicentia Boco,Vicentia,female,female,BJ,False,genderAPI.com,False,1.0,Vicentia,,True,wikidata
34,Therese Soukup,Therese,female,female,SC,False,genderAPI.com,False,0.98,Therese,,True,wikidata
35,Aisha Yesufu,Aisha,female,female,NG,False,genderAPI.com,False,0.99,Aisha,,True,wikidata
37,Priscilla Jana,Priscilla,female,female,ZA,False,genderAPI.com,False,0.98,Priscilla,,True,wikidata
42,Aïcha Macky,Aïcha,female,female,NG,False,genderAPI.com,False,0.99,Aïcha,,True,wikidata
44,Philippa Ndisi-Herrmann,Philippa,female,female,KE,False,genderAPI.com,False,0.98,Philippa,,True,wikidata
46,Bridget Otoo,Bridget,female,female,GH,False,genderAPI.com,False,0.99,Bridget,,True,wikidata
47,Branwen Okpako,Branwen,female,female,NG,False,genderAPI.com,False,0.77,Branwen,,True,wikidata
48,Voahary Rakotovelomanantsoa,Voahary,female,female,MG,False,genderAPI.com,False,0.75,Voahary,,True,wikidata
49,Joelle Kayembe,Joelle,female,female,,False,genderAPI.com,False,0.98,Joelle,,True,wikidata
50,Sophia Byass,Sophia,female,female,GM,False,genderAPI.com,False,0.98,Sophia,,True,wikidata
53,Mandisa Makesini,Mandisa,female,female,ZA,False,genderAPI.com,False,0.95,Mandisa,,True,wikidata
55,Cynthia Butare,Cynthia,female,female,RW,False,genderAPI.com,False,0.98,Cynthia,,True,wikidata
57,Sakina Safadi,Sakina,female,female,MA,False,genderAPI.com,False,0.97,Sakina,,True,wikidata
58,Laura Musanase,Laura,female,female,TZ,False,genderAPI.com,False,0.98,Laura,,True,wikidata
59,Munezero Aline,Munezero,female,male,RW,False,genderAPI.com,False,0.57,Munezero,,False,wikidata
60,Girley Jazama,Girley,female,female,,False,genderAPI.com,False,0.71,Girley,,True,wikidata
61,Nadège Uwamwezi,Nadège,female,female,RW,False,genderAPI.com,False,0.98,Nadège,,True,wikidata
63,Martine Oulabou,Martine,female,female,GA,False,genderAPI.com,False,0.97,Martine,,True,wikidata
64,Ayyam Sureau,Ayyam,female,male,EG,False,genderAPI.com,False,0.67,Ayyam,,False,wikidata
65,Catherine Kamau,Catherine,female,female,KE,False,genderAPI.com,False,0.98,Catherine,,True,wikidata
66,Aïcha Boro,Aïcha,female,female,BF,False,genderAPI.com,False,0.99,Aïcha,,True,wikidata
67,Fay Goldie,Fay,female,female,ZA,False,genderAPI.com,False,0.74,Fay,,True,wikidata
68,Aderonke Adeola,Aderonke,female,female,NG,False,genderAPI.com,False,0.89,Aderonke,,True,wikidata
69,Pascale Lamche,Pascale,female,female,ZA,False,genderAPI.com,False,0.97,Pascale,,True,wikidata
70,Kagendo Murungi,Kagendo,female,female,KE,False,genderAPI.com,False,1.0,Kagendo,,True,wikidata
71,Omelga Mthiyane,Omelga,female,female,ZA,False,genderAPI.com,False,0.8,Omelga,,True,wikidata
74,Alfa Demmellash,Alfa,female,male,ET,False,genderAPI.com,False,0.84,Alfa,,False,wikidata
76,Habiba Marzouk,Habiba,female,female,EG,False,genderAPI.com,False,0.96,Habiba,,True,wikidata
77,Anne-Leen Thorburn,Anne-Leen,female,female,,False,genderAPI.com,False,1.0,Anne-Leen,,True,wikidata
78,Garcelle Napier,Garcelle,female,female,ZA,False,genderAPI.com,False,1.0,Garcelle,,True,wikidata
84,Jasmin Pillay,Jasmin,female,female,ZA,False,genderAPI.com,False,0.93,Jasmin,,True,wikidata
85,Minette Hough,Minette,female,female,,False,genderAPI.com,False,0.97,Minette,,True,wikidata
87,Fatou Samba,Fatou,female,female,SN,False,genderAPI.com,False,0.97,Fatou,,True,wikidata
89,Melissa Cohen,Melissa,female,female,ZA,False,genderAPI.com,False,0.98,Melissa,,True,wikidata
90,Sira Jallow,Sira,female,female,GM,False,genderAPI.com,False,0.85,Sira,,True,wikidata
91,Vivienne Roumani,Vivienne,female,female,LY,False,genderAPI.com,False,0.99,Vivienne,,True,wikidata
94,Mariama Sowe,Mariama,female,female,GM,False,genderAPI.com,False,0.98,Mariama,,True,wikidata
95,Hannah Faal-Heim,Hannah,female,female,GM,False,genderAPI.com,False,0.99,Hannah,,True,wikidata
96,Tsehay Melaku,Tsehay,female,female,ET,False,genderAPI.com,False,0.77,Tsehay,,True,wikidata
97,Tamy Moyo,Tamy,female,female,ZW,False,genderAPI.com,False,0.93,Tamy,,True,wikidata
98,Alphonse Menyo,Alphonse,female,male,GH,False,genderAPI.com,False,0.97,Alphonse,,False,wikidata
99,Chiedza Mhende,Chiedza,female,female,ZW,False,genderAPI.com,False,0.98,Chiedza,,True,wikidata
100,Shana Dowdeswell,Shana,female,female,ZW,False,genderAPI.com,False,0.96,Shana,,True,wikidata
101,Jean Doyle,Jean,female,male,ZA,False,genderAPI.com,False,0.9,Jean,,False,wikidata
103,Vivian Ewalefo,Vivian,female,female,NG,False,genderAPI.com,False,0.93,Vivian,,True,wikidata
104,Shudufhadzo Musida,Shudufhadzo,female,male,ZA,False,genderAPI.com,False,0.75,Shudufhadzo,,False,wikidata
105,Catarina Taborda,Catarina,female,female,GW,False,genderAPI.com,False,0.98,Catarina,,True,wikidata
106,Noga Treves,Noga,female,female,,False,genderAPI.com,False,0.93,Noga,,True,wikidata
107,Fatou Baldeh,Fatou,female,female,GM,False,genderAPI.com,False,0.97,Fatou,,True,wikidata
108,Fatima Chiguer,Fatima,female,female,MA,False,genderAPI.com,False,0.98,Fatima,,True,wikidata
