index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted,isCorrect,source
0,ALEKSANYAN Artur,Artur,male,male,AM,True,genderGuesser,male,True,kaggle
1,AMOYAN Malkhas,Malkhas,male,unknown,AM,True,genderGuesser,unknown,False,kaggle
2,GALSTYAN Slavik,Slavik,male,male,AM,True,genderGuesser,male,True,kaggle
3,HARUTYUNYAN Arsen,Arsen,male,male,AM,True,genderGuesser,male,True,kaggle
4,TEVANYAN Vazgen,Vazgen,male,male,AM,True,genderGuesser,male,True,kaggle
5,ARENAS Lorena,Lorena,female,unknown,CO,True,genderGuesser,andy,False,kaggle
6,McKENZIE Ashley,Ashley,male,female,GB,True,genderGuesser,mostly_female,False,kaggle
7,CAMARA Ebrahima,Ebrahima,male,unknown,GM,True,genderGuesser,unknown,False,kaggle
8,GRAJALES Crisanto,Crisanto,male,unknown,MX,True,genderGuesser,unknown,False,kaggle
9,MAAROUFOU Hachim,Hachim,male,unknown,FR,True,genderGuesser,unknown,False,kaggle
10,SAADI Maesha,Maesha,female,unknown,FR,True,genderGuesser,unknown,False,kaggle
11,DIOSDADO Nuria,Nuria,female,unknown,MX,True,genderGuesser,andy,False,kaggle
12,JIMENEZ Joana,Joana,female,unknown,MX,True,genderGuesser,andy,False,kaggle
13,SOBRINO Jessica,Jessica,female,unknown,MX,True,genderGuesser,andy,False,kaggle
14,ALFEREZ Regina,Regina,female,unknown,MX,True,genderGuesser,andy,False,kaggle
15,ARELLANO Fernanda,Fernanda,female,unknown,MX,True,genderGuesser,andy,False,kaggle
16,TOSCANO Pamela,Pamela,female,unknown,MX,True,genderGuesser,andy,False,kaggle
17,GONZALEZ Itzamary,Itzamary,female,unknown,MX,True,genderGuesser,unknown,False,kaggle
18,RODRIGUEZ Samanta,Samanta,female,unknown,MX,True,genderGuesser,andy,False,kaggle
19,INZUNZA Glenda,Glenda,female,unknown,MX,True,genderGuesser,andy,False,kaggle
20,SEHEN Sajjad,Sajjad,male,unknown,IQ,True,genderGuesser,andy,False,kaggle
21,ISMAIL Mohamed,Mohamed,male,unknown,DJ,True,genderGuesser,andy,False,kaggle
22,HASSAN Ibrahim,Ibrahim,male,unknown,DJ,True,genderGuesser,andy,False,kaggle
23,WAISS Abdi,Abdi,male,unknown,DJ,True,genderGuesser,andy,False,kaggle
24,BARAT Andy,Andy,male,unknown,KM,True,genderGuesser,andy,False,kaggle
25,GONZALEZ Alegna,Alegna,female,unknown,MX,True,genderGuesser,unknown,False,kaggle
26,PORTILLO Erick,Erick,male,unknown,MX,True,genderGuesser,andy,False,kaggle
27,MUNOZ Uziel,Uziel,male,unknown,MX,True,genderGuesser,unknown,False,kaggle
28,MORAN Paola,Paola,female,unknown,MX,True,genderGuesser,andy,False,kaggle
29,GALVAN Laura,Laura,female,unknown,MX,True,genderGuesser,andy,False,kaggle
30,BLANCO Luisa,Luisa,female,unknown,US,True,genderGuesser,andy,False,kaggle
31,FERNANDEZ Federico,Federico,male,unknown,MX,True,genderGuesser,andy,False,kaggle
32,MORENO Alexa,Alexa,female,unknown,MX,True,genderGuesser,andy,False,kaggle
33,SANDOVAL Ahtziri,Ahtziri,female,unknown,MX,True,genderGuesser,unknown,False,kaggle
34,FLORES Sofia,Sofia,female,unknown,MX,True,genderGuesser,andy,False,kaggle
35,SALAZAR Kimberly,Kimberly,female,unknown,MX,True,genderGuesser,andy,False,kaggle
36,TEJEDA Adirem,Adirem,female,unknown,MX,True,genderGuesser,unknown,False,kaggle
37,ALCOCER Dalia,Dalia,female,unknown,MX,True,genderGuesser,andy,False,kaggle
38,GUTIERREZ Julia,Julia,female,unknown,MX,True,genderGuesser,andy,False,kaggle
39,HERNANDEZ Emiliano,Emiliano,male,unknown,MX,True,genderGuesser,andy,False,kaggle
40,CARRILLO Duilio,Duilio,male,unknown,MX,True,genderGuesser,andy,False,kaggle
41,OLIVER Mayan,Mayan,female,unknown,MX,True,genderGuesser,unknown,False,kaggle
42,SANSORES Carlos,Carlos,male,unknown,MX,True,genderGuesser,andy,False,kaggle
43,GRIGORIAN Aram,Aram,male,unknown,RU,True,genderGuesser,andy,False,kaggle
44,KOSTOEV Dzhafar,Dzhafar,male,unknown,RU,True,genderGuesser,unknown,False,kaggle
45,MAGOMEDOMAROV Magomedomar,Magomedomar,male,unknown,RU,True,genderGuesser,unknown,False,kaggle
46,TATALASHVILI Nugzari,Nugzari,male,unknown,GE,True,genderGuesser,unknown,False,kaggle
47,BISHRELT Khorloodoi,Khorloodoi,female,unknown,MN,True,genderGuesser,unknown,False,kaggle
48,HOUSSEIN Alexandre,Alexandre,male,male,FR,True,genderGuesser,male,True,kaggle
49,VALENCIA Alejandra,Alejandra,female,unknown,MX,True,genderGuesser,andy,False,kaggle
50,RUIZ Angela,Angela,female,unknown,MX,True,genderGuesser,andy,False,kaggle
51,GRANDE Matias,Matias,male,unknown,MX,True,genderGuesser,andy,False,kaggle
52,PRIETO Marcela,Marcela,female,unknown,MX,True,genderGuesser,andy,False,kaggle
53,RODRIGUEZ Gabriela,Gabriela,female,unknown,MX,True,genderGuesser,andy,False,kaggle
54,REINOSO Sofia,Sofia,female,unknown,MX,True,genderGuesser,andy,False,kaggle
55,LINARES Natalia,Natalia,female,unknown,CO,True,genderGuesser,andy,False,kaggle
56,LONGA Ronal,Ronal,male,unknown,CO,True,genderGuesser,unknown,False,kaggle
57,ORJUELA Angie,Angie,female,unknown,CO,True,genderGuesser,andy,False,kaggle
58,ABDOLI Samyar,Samyar,male,unknown,IR,True,genderGuesser,unknown,False,kaggle
59,SIMWAKA Asimenye,Asimenye,female,unknown,MW,True,genderGuesser,unknown,False,kaggle
60,SERRANO Franco,Franco,male,unknown,AR,True,genderGuesser,andy,False,kaggle
61,KUMEL SAADI,SAADI,male,unknown,CH,True,genderGuesser,unknown,False,kaggle
62,MUNTADHER ABDULAMEER,ABDULAMEER,male,unknown,IQ,True,genderGuesser,unknown,False,kaggle
63,MUNTADHER MOHAMMED,MOHAMMED,male,unknown,IQ,True,genderGuesser,unknown,False,kaggle
64,MAEDER Maximilian,Maximilian,male,unknown,SG,True,genderGuesser,andy,False,kaggle
65,LO Ryan,Ryan,male,unknown,SG,True,genderGuesser,andy,False,kaggle
66,ZAID TAHSEEN,TAHSEEN,male,unknown,IQ,True,genderGuesser,unknown,False,kaggle
67,HUSSEIN AMER,AMER,male,unknown,IQ,True,genderGuesser,unknown,False,kaggle
