index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted,isCorrect,source
0,Clara Benson,Clara,female,unknown,GH,True,genderGuesser,andy,False,wikidata
1,Dalia Ziada,Dalia,female,unknown,EG,True,genderGuesser,andy,False,wikidata
2,Fatou Haidara,Fatou,female,unknown,ML,True,genderGuesser,unknown,False,wikidata
3,Diallo Sène,Diallo,female,unknown,ML,True,genderGuesser,unknown,False,wikidata
4,Fatoumata Sylla,Fatoumata,female,unknown,ML,True,genderGuesser,unknown,False,wikidata
5,Awa Traoré,Awa,female,unknown,ML,True,genderGuesser,andy,False,wikidata
6,Lorna Doorman,Lorna,female,unknown,ZW,True,genderGuesser,andy,False,wikidata
7,Enayat al-Zayyat,Enayat,female,unknown,EG,True,genderGuesser,unknown,False,wikidata
8,Fatima Hellilou,Fatima,female,unknown,DZ,True,genderGuesser,andy,False,wikidata
9,Fadila Hachemaoui,Fadila,female,unknown,DZ,True,genderGuesser,andy,False,wikidata
10,Mervat Farrag,Mervat,female,unknown,EG,True,genderGuesser,unknown,False,wikidata
11,Ghaniyya Bouhouia,Ghaniyya,female,unknown,DZ,True,genderGuesser,unknown,False,wikidata
12,Bella Keshk,Bella,female,unknown,EG,True,genderGuesser,andy,False,wikidata
13,Emna Fakher,Emna,female,unknown,TN,True,genderGuesser,unknown,False,wikidata
14,Marianne Khoury,Marianne,female,unknown,EG,True,genderGuesser,andy,False,wikidata
15,Vicentia Boco,Vicentia,female,unknown,BJ,True,genderGuesser,unknown,False,wikidata
16,Therese Soukup,Therese,female,unknown,SC,True,genderGuesser,andy,False,wikidata
17,Aisha Yesufu,Aisha,female,unknown,NG,True,genderGuesser,andy,False,wikidata
18,Priscilla Jana,Priscilla,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
19,Aïcha Macky,Aïcha,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
20,Philippa Ndisi-Herrmann,Philippa,female,unknown,KE,True,genderGuesser,andy,False,wikidata
21,Bridget Otoo,Bridget,female,unknown,GH,True,genderGuesser,andy,False,wikidata
22,Branwen Okpako,Branwen,female,unknown,NG,True,genderGuesser,andy,False,wikidata
23,Voahary Rakotovelomanantsoa,Voahary,female,unknown,MG,True,genderGuesser,unknown,False,wikidata
24,Sophia Byass,Sophia,female,unknown,GM,True,genderGuesser,andy,False,wikidata
25,Mandisa Makesini,Mandisa,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
26,Cynthia Butare,Cynthia,female,unknown,RW,True,genderGuesser,andy,False,wikidata
27,Sakina Safadi,Sakina,female,unknown,MA,True,genderGuesser,andy,False,wikidata
28,Laura Musanase,Laura,female,unknown,TZ,True,genderGuesser,andy,False,wikidata
29,Munezero Aline,Munezero,female,unknown,RW,True,genderGuesser,unknown,False,wikidata
30,Nadège Uwamwezi,Nadège,female,unknown,RW,True,genderGuesser,andy,False,wikidata
31,Martine Oulabou,Martine,female,unknown,GA,True,genderGuesser,andy,False,wikidata
32,Ayyam Sureau,Ayyam,female,unknown,EG,True,genderGuesser,unknown,False,wikidata
33,Catherine Kamau,Catherine,female,unknown,KE,True,genderGuesser,andy,False,wikidata
34,Aïcha Boro,Aïcha,female,unknown,BF,True,genderGuesser,unknown,False,wikidata
35,Fay Goldie,Fay,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
36,Aderonke Adeola,Aderonke,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
37,Pascale Lamche,Pascale,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
38,Kagendo Murungi,Kagendo,female,unknown,KE,True,genderGuesser,unknown,False,wikidata
39,Omelga Mthiyane,Omelga,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
40,Alfa Demmellash,Alfa,female,unknown,ET,True,genderGuesser,andy,False,wikidata
41,Habiba Marzouk,Habiba,female,unknown,EG,True,genderGuesser,andy,False,wikidata
42,Garcelle Napier,Garcelle,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
43,Jasmin Pillay,Jasmin,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
44,Fatou Samba,Fatou,female,unknown,SN,True,genderGuesser,unknown,False,wikidata
45,Melissa Cohen,Melissa,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
46,Sira Jallow,Sira,female,unknown,GM,True,genderGuesser,andy,False,wikidata
47,Vivienne Roumani,Vivienne,female,unknown,LY,True,genderGuesser,andy,False,wikidata
48,Mariama Sowe,Mariama,female,unknown,GM,True,genderGuesser,unknown,False,wikidata
49,Hannah Faal-Heim,Hannah,female,unknown,GM,True,genderGuesser,andy,False,wikidata
50,Tsehay Melaku,Tsehay,female,unknown,ET,True,genderGuesser,unknown,False,wikidata
51,Tamy Moyo,Tamy,female,unknown,ZW,True,genderGuesser,unknown,False,wikidata
52,Alphonse Menyo,Alphonse,female,unknown,GH,True,genderGuesser,andy,False,wikidata
53,Chiedza Mhende,Chiedza,female,unknown,ZW,True,genderGuesser,unknown,False,wikidata
54,Shana Dowdeswell,Shana,female,unknown,ZW,True,genderGuesser,andy,False,wikidata
55,Jean Doyle,Jean,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
56,Vivian Ewalefo,Vivian,female,unknown,NG,True,genderGuesser,andy,False,wikidata
57,Shudufhadzo Musida,Shudufhadzo,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
58,Catarina Taborda,Catarina,female,unknown,GW,True,genderGuesser,andy,False,wikidata
59,Fatou Baldeh,Fatou,female,unknown,GM,True,genderGuesser,unknown,False,wikidata
60,Fatima Chiguer,Fatima,female,unknown,MA,True,genderGuesser,andy,False,wikidata
61,Agatha Cilliers,Agatha,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
62,Alemu Megertu,Alemu,female,unknown,ET,True,genderGuesser,unknown,False,wikidata
63,Rahma Tusa,Rahma,female,unknown,ET,True,genderGuesser,unknown,False,wikidata
64,Phumzile Sitole,Phumzile,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
65,Rosemary Aluoch,Rosemary,female,unknown,KE,True,genderGuesser,andy,False,wikidata
66,Adanech Abebe,Adanech,female,unknown,ET,True,genderGuesser,unknown,False,wikidata
67,Charlbi Dean,Charlbi,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
68,Mariam Selim,Mariam,female,unknown,EG,True,genderGuesser,andy,False,wikidata
69,Virginia Khunguni,Virginia,female,unknown,MW,True,genderGuesser,andy,False,wikidata
70,Leslie Witz,Leslie,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
71,Aisha Tsamiya,Aisha,female,unknown,NG,True,genderGuesser,andy,False,wikidata
72,Leila Nakabira,Leila,female,unknown,UG,True,genderGuesser,andy,False,wikidata
73,Fati Washa,Fati,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
74,Simone Ackermann,Simone,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
75,Fati Shu'uma,Fati,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
76,Patricia Francourt,Patricia,female,unknown,SC,True,genderGuesser,andy,False,wikidata
77,Devika Vidot,Devika,female,unknown,SC,True,genderGuesser,unknown,False,wikidata
78,Yola Mgogwana,Yola,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
79,Aliaa Saleh,Aliaa,female,unknown,EG,True,genderGuesser,unknown,False,wikidata
80,Sana Elsherbiny,Sana,female,unknown,EG,True,genderGuesser,andy,False,wikidata
81,Polina Fouda,Polina,female,unknown,EG,True,genderGuesser,andy,False,wikidata
82,Salma Saleh,Salma,female,unknown,EG,True,genderGuesser,andy,False,wikidata
83,Tia Sobhy,Tia,female,unknown,EG,True,genderGuesser,andy,False,wikidata
84,Malak Selim,Malak,female,unknown,EG,True,genderGuesser,andy,False,wikidata
85,Login Elsasyed,Login,female,unknown,EG,True,genderGuesser,unknown,False,wikidata
86,Sara Rostom,Sara,female,unknown,EG,True,genderGuesser,andy,False,wikidata
87,Janet Karim,Janet,female,unknown,MW,True,genderGuesser,andy,False,wikidata
88,Zainab Gimba,Zainab,female,unknown,NG,True,genderGuesser,andy,False,wikidata
89,Farah Hussein,Farah,female,unknown,EG,True,genderGuesser,andy,False,wikidata
90,Mandy Mohamed,Mandy,female,unknown,EG,True,genderGuesser,andy,False,wikidata
91,Farah Salem,Farah,female,unknown,EG,True,genderGuesser,andy,False,wikidata
92,Adekemi Adesida,Adekemi,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
93,Helen Ocheke,Helen,female,unknown,NG,True,genderGuesser,andy,False,wikidata
94,Adenike Oyekunle,Adenike,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
95,Oluwadamilola Oluwafemi,Oluwadamilola,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
96,Cathryn Credo,Cathryn,female,unknown,TZ,True,genderGuesser,andy,False,wikidata
97,Sheila Munyiva,Sheila,female,unknown,KE,True,genderGuesser,andy,False,wikidata
98,Michelle Abueng,Michelle,female,unknown,BW,True,genderGuesser,andy,False,wikidata
99,Henrietta Mbawah,Henrietta,female,unknown,SL,True,genderGuesser,andy,False,wikidata
100,Sanaba Kaba,Sanaba,female,unknown,GN,True,genderGuesser,unknown,False,wikidata
101,Davina Itoo,Davina,female,unknown,MU,True,genderGuesser,andy,False,wikidata
102,Hannatu Bashir,Hannatu,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
103,Fadila Muhammad,Fadila,female,unknown,NG,True,genderGuesser,andy,False,wikidata
104,Susan Akene,Susan,female,unknown,NG,True,genderGuesser,andy,False,wikidata
105,Yolanda Steyn,Yolanda,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
106,Johanna Mafuyana,Johanna,female,unknown,ZW,True,genderGuesser,andy,False,wikidata
107,Bouchra Zboured,Bouchra,female,unknown,MA,True,genderGuesser,andy,False,wikidata
108,Arlete Bombe,Arlete,female,unknown,MZ,True,genderGuesser,andy,False,wikidata
109,Selma Hellal,Selma,female,unknown,DZ,True,genderGuesser,andy,False,wikidata
110,Lihle Dhlomo,Lihle,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
111,Rebecca Majeka,Rebecca,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
112,Helena Amoako,Helena,female,unknown,GH,True,genderGuesser,andy,False,wikidata
113,Dora Manu,Dora,female,unknown,GH,True,genderGuesser,andy,False,wikidata
114,Yetunde Arobieke,Yetunde,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
115,Mable Esendi,Mable,female,unknown,KE,True,genderGuesser,andy,False,wikidata
116,Florence Wanjiru,Florence,female,unknown,KE,True,genderGuesser,andy,False,wikidata
117,Emebet Shiferaw,Emebet,female,unknown,ET,True,genderGuesser,unknown,False,wikidata
118,Ilse Wicksell,Ilse,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
119,Berhane Herpassa,Berhane,female,unknown,ET,True,genderGuesser,unknown,False,wikidata
120,Mayra Rondo,Mayra,female,unknown,GQ,True,genderGuesser,andy,False,wikidata
121,Linah Cheruiyot,Linah,female,unknown,KE,True,genderGuesser,unknown,False,wikidata
122,Regina Chemeli,Regina,female,unknown,KE,True,genderGuesser,andy,False,wikidata
123,Esther Ndoumbé,Esther,female,unknown,CM,True,genderGuesser,andy,False,wikidata
124,Geneviève Obone,Geneviève,female,unknown,GA,True,genderGuesser,andy,False,wikidata
125,Diane Zancy,Diane,female,unknown,GA,True,genderGuesser,andy,False,wikidata
126,Rethabile Ramaphakela,Rethabile,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
127,Pearl Jansen,Pearl,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
128,Viola Jelagat,Viola,female,unknown,KE,True,genderGuesser,andy,False,wikidata
129,Martha Udom,Martha,female,unknown,NG,True,genderGuesser,andy,False,wikidata
130,Ismahane Lahmar,Ismahane,female,unknown,TN,True,genderGuesser,unknown,False,wikidata
131,Yejide Kilanko,Yejide,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
132,Edna Noy,Edna,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
133,Mouna Sabri,Mouna,female,unknown,MA,True,genderGuesser,andy,False,wikidata
134,Ajibola Ponnle,Ajibola,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
135,Aya Samaha,Aya,female,unknown,EG,True,genderGuesser,andy,False,wikidata
136,Adaku Ufere-Awoonor,Adaku,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
137,Oceanne Iradukunda,Oceanne,female,unknown,RW,True,genderGuesser,unknown,False,wikidata
138,Laila Gohar,Laila,female,unknown,EG,True,genderGuesser,andy,False,wikidata
139,Tanatsei Gambura,Tanatsei,female,unknown,ZW,True,genderGuesser,unknown,False,wikidata
140,Mosun Belo-Olusoga,Mosun,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
141,Arame Fall,Arame,female,unknown,SN,True,genderGuesser,unknown,False,wikidata
142,Nomvelo Makhanya,Nomvelo,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
143,Nunu Khumalo,Nunu,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
144,Gcina Nkosi,Gcina,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
145,Lara Sousa,Lara,female,unknown,MZ,True,genderGuesser,andy,False,wikidata
146,Sanaâ Mssoudy,Sanaâ,female,unknown,MA,True,genderGuesser,unknown,False,wikidata
147,Rosebell Kagumire,Rosebell,female,unknown,UG,True,genderGuesser,unknown,False,wikidata
148,Francesca Emanuel,Francesca,female,unknown,NG,True,genderGuesser,andy,False,wikidata
149,Lorcia Cooper,Lorcia,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
150,Obianuju Ekeocha,Obianuju,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
151,Priscilla Kuye,Priscilla,female,unknown,NG,True,genderGuesser,andy,False,wikidata
152,Sinatu Ojikutu,Sinatu,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
153,Titilayo Laoye-Tomori,Titilayo,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
154,Blessing Nsiegbe,Blessing,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
155,Rajae Aboulaich,Rajae,female,unknown,MA,True,genderGuesser,unknown,False,wikidata
156,Alouf Jirari,Alouf,female,unknown,MA,True,genderGuesser,unknown,False,wikidata
157,Néfertiti Magahed,Néfertiti,female,unknown,EG,True,genderGuesser,unknown,False,wikidata
158,Miriam Onuoha,Miriam,female,unknown,NG,True,genderGuesser,andy,False,wikidata
159,Odile Sankara,Odile,female,unknown,BF,True,genderGuesser,andy,False,wikidata
160,Blessing Onuh,Blessing,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
161,Lee Visagie,Lee,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
162,Khanya Mkangisa,Khanya,female,unknown,ZA,True,genderGuesser,unknown,False,wikidata
163,Soso Rungqu,Soso,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
164,Michelle Beling,Michelle,female,unknown,ZA,True,genderGuesser,andy,False,wikidata
165,Tolulope Akande-Sadipe,Tolulope,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
166,Ogunlola Olubunmi,Ogunlola,female,unknown,NG,True,genderGuesser,unknown,False,wikidata
167,Farida Arman,Farida,female,unknown,EG,True,genderGuesser,andy,False,wikidata
168,Hanan al-Barassi,Hanan,female,unknown,LY,True,genderGuesser,andy,False,wikidata
