index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted,isCorrect,source
0,Clara Benson,Clara,female,female,GH,False,genderGuesser,female,True,wikidata
1,Dalia Ziada,Dalia,female,female,EG,False,genderGuesser,female,True,wikidata
2,Fatou Haidara,Fatou,female,unknown,ML,False,genderGuesser,unknown,False,wikidata
3,Claude Haffner,Claude,female,male,,False,genderGuesser,mostly_male,False,wikidata
4,Diallo Sène,Diallo,female,unknown,ML,False,genderGuesser,unknown,False,wikidata
5,Fatoumata Sylla,Fatoumata,female,unknown,ML,False,genderGuesser,unknown,False,wikidata
6,Manuella Ollo,Manuella,female,female,,False,genderGuesser,female,True,wikidata
7,Awa Traoré,Awa,female,female,ML,False,genderGuesser,female,True,wikidata
8,Lorna Doorman,Lorna,female,female,ZW,False,genderGuesser,female,True,wikidata
9,Enayat al-Zayyat,Enayat,female,unknown,EG,False,genderGuesser,unknown,False,wikidata
10,Fatima Hellilou,Fatima,female,female,DZ,False,genderGuesser,female,True,wikidata
11,Fadila Hachemaoui,Fadila,female,female,DZ,False,genderGuesser,female,True,wikidata
12,Mervat Farrag,Mervat,female,unknown,EG,False,genderGuesser,unknown,False,wikidata
13,Ghaniyya Bouhouia,Ghaniyya,female,unknown,DZ,False,genderGuesser,unknown,False,wikidata
14,Bella Keshk,Bella,female,female,EG,False,genderGuesser,female,True,wikidata
15,Magda Saleh,Magda,female,female,,False,genderGuesser,female,True,wikidata
16,Emna Fakher,Emna,female,unknown,TN,False,genderGuesser,unknown,False,wikidata
17,Marianne Khoury,Marianne,female,female,EG,False,genderGuesser,female,True,wikidata
18,Vicentia Boco,Vicentia,female,unknown,BJ,False,genderGuesser,unknown,False,wikidata
19,Therese Soukup,Therese,female,female,SC,False,genderGuesser,female,True,wikidata
20,Aisha Yesufu,Aisha,female,female,NG,False,genderGuesser,female,True,wikidata
21,Priscilla Jana,Priscilla,female,female,ZA,False,genderGuesser,female,True,wikidata
22,Aïcha Macky,Aïcha,female,unknown,NG,False,genderGuesser,unknown,False,wikidata
23,Philippa Ndisi-Herrmann,Philippa,female,female,KE,False,genderGuesser,female,True,wikidata
24,Bridget Otoo,Bridget,female,female,GH,False,genderGuesser,female,True,wikidata
25,Branwen Okpako,Branwen,female,female,NG,False,genderGuesser,female,True,wikidata
26,Voahary Rakotovelomanantsoa,Voahary,female,unknown,MG,False,genderGuesser,unknown,False,wikidata
27,Joelle Kayembe,Joelle,female,female,,False,genderGuesser,female,True,wikidata
28,Sophia Byass,Sophia,female,female,GM,False,genderGuesser,female,True,wikidata
29,Mandisa Makesini,Mandisa,female,unknown,ZA,False,genderGuesser,unknown,False,wikidata
30,Cynthia Butare,Cynthia,female,female,RW,False,genderGuesser,female,True,wikidata
31,Sakina Safadi,Sakina,female,female,MA,False,genderGuesser,female,True,wikidata
32,Laura Musanase,Laura,female,female,TZ,False,genderGuesser,female,True,wikidata
33,Munezero Aline,Munezero,female,unknown,RW,False,genderGuesser,unknown,False,wikidata
34,Girley Jazama,Girley,female,unknown,,False,genderGuesser,unknown,False,wikidata
35,Nadège Uwamwezi,Nadège,female,female,RW,False,genderGuesser,female,True,wikidata
36,Martine Oulabou,Martine,female,female,GA,False,genderGuesser,female,True,wikidata
37,Ayyam Sureau,Ayyam,female,unknown,EG,False,genderGuesser,unknown,False,wikidata
38,Catherine Kamau,Catherine,female,female,KE,False,genderGuesser,female,True,wikidata
39,Aïcha Boro,Aïcha,female,unknown,BF,False,genderGuesser,unknown,False,wikidata
40,Fay Goldie,Fay,female,female,ZA,False,genderGuesser,mostly_female,True,wikidata
41,Aderonke Adeola,Aderonke,female,unknown,NG,False,genderGuesser,unknown,False,wikidata
42,Pascale Lamche,Pascale,female,female,ZA,False,genderGuesser,female,True,wikidata
