index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraGenderScale,extraScore,extraProbabilityCalibrated,extraScript,isCorrect,source
0,Clara Benson,Clara,female,female,GH,True,NamSor,0.999098751952984,15.669215771251125,0.999549375976492,LATIN,True,wikidata
2,Dalia Ziada,Dalia,female,female,EG,True,NamSor,0.9987891969534192,15.373957145357975,0.9993945984767096,LATIN,True,wikidata
3,Fatou Haidara,Fatou,female,female,ML,True,NamSor,0.9876191183146776,12.789983868528964,0.9938095591573388,LATIN,True,wikidata
7,Diallo Sène,Diallo,female,female,ML,True,NamSor,0.3100454410080049,1.876021513840307,0.6550227205040025,LATIN,True,wikidata
8,Fatoumata Sylla,Fatoumata,female,female,ML,True,NamSor,0.9999909672403048,20.27213848846514,0.9999954836201524,LATIN,True,wikidata
12,Awa Traoré,Awa,female,female,ML,True,NamSor,0.9999898195562786,20.1525278253335,0.9999949097781392,LATIN,True,wikidata
17,Lorna Doorman,Lorna,female,female,ZW,True,NamSor,0.9992707351167542,15.880959304785591,0.9996353675583772,LATIN,True,wikidata
18,Enayat al-Zayyat,Enayat,female,male,EG,True,NamSor,-0.9712838595532384,10.579772618462272,0.9856419297766192,LATIN,False,wikidata
20,Fatima Hellilou,Fatima,female,female,DZ,True,NamSor,0.999982030337364,19.58431154002635,0.999991015168682,LATIN,True,wikidata
21,Fadila Hachemaoui,Fadila,female,female,DZ,True,NamSor,0.9903513283740945,13.298419242527942,0.9951756641870472,LATIN,True,wikidata
22,Mervat Farrag,Mervat,female,female,EG,True,NamSor,0.4316637221900956,2.8535167020866794,0.7158318610950478,LATIN,True,wikidata
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,True,NamSor,0.9991695806349228,15.751065472982988,0.9995847903174614,LATIN,True,wikidata
24,Bella Keshk,Bella,female,female,EG,True,NamSor,0.9898940519706,13.252115249285495,0.9949470259853,LATIN,True,wikidata
26,Emna Fakher,Emna,female,female,TN,True,NamSor,0.9984166401968584,15.105691847975294,0.9992083200984292,LATIN,True,wikidata
27,Marianne Khoury,Marianne,female,female,EG,True,NamSor,0.9989293263359672,15.496952941605436,0.9994646631679835,LATIN,True,wikidata
33,Vicentia Boco,Vicentia,female,female,BJ,True,NamSor,0.9976258434945248,14.700598538615536,0.9988129217472624,LATIN,True,wikidata
34,Therese Soukup,Therese,female,female,SC,True,NamSor,0.9910994830143902,13.379130259739398,0.9955497415071952,LATIN,True,wikidata
35,Aisha Yesufu,Aisha,female,female,NG,True,NamSor,0.9999339749577548,18.28296233369773,0.9999669874788776,LATIN,True,wikidata
37,Priscilla Jana,Priscilla,female,female,ZA,True,NamSor,0.999554985119952,16.374888650808415,0.999777492559976,LATIN,True,wikidata
42,Aïcha Macky,Aïcha,female,female,NG,True,NamSor,0.9970353241288046,14.478472946564857,0.9985176620644024,LATIN,True,wikidata
44,Philippa Ndisi-Herrmann,Philippa,female,female,KE,True,NamSor,0.9936798134402224,13.72149134500996,0.9968399067201112,LATIN,True,wikidata
46,Bridget Otoo,Bridget,female,female,GH,True,NamSor,0.9747691008342176,10.98712099917168,0.9873845504171088,LATIN,True,wikidata
47,Branwen Okpako,Branwen,female,female,NG,True,NamSor,0.9625229263189834,8.906670176424548,0.9812614631594916,LATIN,True,wikidata
48,Voahary Rakotovelomanantsoa,Voahary,female,male,MG,True,NamSor,-0.1544181857965565,1.1263071695141988,0.5772090928982783,LATIN,False,wikidata
50,Sophia Byass,Sophia,female,female,GM,True,NamSor,0.9879333760649234,12.948895761394908,0.9939666880324616,LATIN,True,wikidata
53,Mandisa Makesini,Mandisa,female,female,ZA,True,NamSor,0.9964432073615042,14.296381357503186,0.998221603680752,LATIN,True,wikidata
55,Cynthia Butare,Cynthia,female,female,RW,True,NamSor,0.9972903197692756,14.568410067254618,0.998645159884638,LATIN,True,wikidata
57,Sakina Safadi,Sakina,female,female,MA,True,NamSor,0.9991914996147372,15.77781515264067,0.9995957498073684,LATIN,True,wikidata
58,Laura Musanase,Laura,female,female,TZ,True,NamSor,0.9980283573361723,14.886373792687856,0.9990141786680862,LATIN,True,wikidata
59,Munezero Aline,Munezero,female,female,RW,True,NamSor,0.7680010104970458,5.53502644514397,0.8840005052485229,LATIN,True,wikidata
61,Nadège Uwamwezi,Nadège,female,female,RW,True,NamSor,0.9880951121210352,13.041715601008455,0.9940475560605176,LATIN,True,wikidata
63,Martine Oulabou,Martine,female,female,GA,True,NamSor,0.9994339074916464,16.134238842550864,0.9997169537458231,LATIN,True,wikidata
64,Ayyam Sureau,Ayyam,female,female,EG,True,NamSor,0.8485731324947932,6.706272584253767,0.9242865662473966,LATIN,True,wikidata
65,Catherine Kamau,Catherine,female,female,KE,True,NamSor,0.9974189766516448,14.61705475456845,0.9987094883258224,LATIN,True,wikidata
66,Aïcha Boro,Aïcha,female,female,BF,True,NamSor,0.999141778189338,15.718133713095604,0.999570889094669,LATIN,True,wikidata
67,Fay Goldie,Fay,female,female,ZA,True,NamSor,0.969733848284358,10.293276374994008,0.984866924142179,LATIN,True,wikidata
68,Aderonke Adeola,Aderonke,female,female,NG,True,NamSor,0.9964351764884258,14.294126003750732,0.9982175882442128,LATIN,True,wikidata
69,Pascale Lamche,Pascale,female,female,ZA,True,NamSor,0.9950183223365768,13.959473589633738,0.9975091611682884,LATIN,True,wikidata
70,Kagendo Murungi,Kagendo,female,male,KE,True,NamSor,-0.2463661220537469,1.5584523050275365,0.6231830610268735,LATIN,False,wikidata
71,Omelga Mthiyane,Omelga,female,female,ZA,True,NamSor,0.2136457626740635,1.4181781333271033,0.6068228813370318,LATIN,True,wikidata
74,Alfa Demmellash,Alfa,female,male,ET,True,NamSor,-0.7984716428425112,5.986506082845288,0.8992358214212556,LATIN,False,wikidata
76,Habiba Marzouk,Habiba,female,female,EG,True,NamSor,0.9999491227392664,18.54358034951444,0.9999745613696333,LATIN,True,wikidata
78,Garcelle Napier,Garcelle,female,female,ZA,True,NamSor,0.9990235143643011,15.589036238557362,0.9995117571821506,LATIN,True,wikidata
84,Jasmin Pillay,Jasmin,female,female,ZA,True,NamSor,0.9621129972366886,8.836539299195053,0.9810564986183444,LATIN,True,wikidata
87,Fatou Samba,Fatou,female,female,SN,True,NamSor,0.972672511216334,10.813291569881612,0.9863362556081672,LATIN,True,wikidata
89,Melissa Cohen,Melissa,female,female,ZA,True,NamSor,0.9995558254181548,16.376778684873166,0.9997779127090776,LATIN,True,wikidata
90,Sira Jallow,Sira,female,female,GM,True,NamSor,0.987194778687869,12.60899945591718,0.9935973893439344,LATIN,True,wikidata
91,Vivienne Roumani,Vivienne,female,female,LY,True,NamSor,0.9952118215626904,13.999090283207387,0.9976059107813452,LATIN,True,wikidata
94,Mariama Sowe,Mariama,female,female,GM,True,NamSor,0.999481020223739,16.22113144262292,0.9997405101118696,LATIN,True,wikidata
95,Hannah Faal-Heim,Hannah,female,female,GM,True,NamSor,0.9838648612626756,12.140417553123882,0.9919324306313378,LATIN,True,wikidata
96,Tsehay Melaku,Tsehay,female,female,ET,True,NamSor,0.976249849369137,11.131090183187652,0.9881249246845684,LATIN,True,wikidata
97,Tamy Moyo,Tamy,female,female,ZW,True,NamSor,0.9780108718853118,11.302365141494974,0.989005435942656,LATIN,True,wikidata
98,Alphonse Menyo,Alphonse,female,male,GH,True,NamSor,-0.969957147123386,10.373540092900283,0.9849785735616928,LATIN,False,wikidata
99,Chiedza Mhende,Chiedza,female,female,ZW,True,NamSor,0.9880431924485906,13.010969937583624,0.9940215962242952,LATIN,True,wikidata
