index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraGenderScale,extraScore,extraProbabilityCalibrated,extraScript,isCorrect,source
0,Clara Benson,Clara,female,female,GH,False,NamSor,0.9843681313027788,12.093966304012966,0.9921840656513894,LATIN,True,wikidata
2,Dalia Ziada,Dalia,female,female,EG,False,NamSor,0.9864098627600127,12.67389831575521,0.9932049313800064,LATIN,True,wikidata
3,Fatou Haidara,Fatou,female,female,ML,False,NamSor,0.9630177527018902,8.663080615246287,0.9815088763509452,LATIN,True,wikidata
4,Claude Haffner,Claude,female,male,,False,NamSor,-0.5511431824161042,4.129962493030355,0.7755715912080521,LATIN,False,wikidata
7,Diallo Sène,Diallo,female,male,ML,False,NamSor,-0.8687561037296105,6.984415539284591,0.9343780518648052,LATIN,False,wikidata
8,Fatoumata Sylla,Fatoumata,female,female,ML,False,NamSor,0.9862415016237648,12.611105171940942,0.9931207508118824,LATIN,True,wikidata
11,Manuella Ollo,Manuella,female,female,,False,NamSor,0.9884358646109748,13.031207790305494,0.9942179323054874,LATIN,True,wikidata
12,Awa Traoré,Awa,female,female,ML,False,NamSor,0.985184394046219,12.287469795375095,0.9925921970231096,LATIN,True,wikidata
17,Lorna Doorman,Lorna,female,female,ZW,False,NamSor,0.9856007520664688,12.402766546504315,0.9928003760332345,LATIN,True,wikidata
18,Enayat al-Zayyat,Enayat,female,male,EG,False,NamSor,-0.8013337475026314,5.961227481484485,0.9006668737513157,LATIN,False,wikidata
20,Fatima Hellilou,Fatima,female,female,DZ,False,NamSor,0.9829895395893664,11.83380808748374,0.9914947697946832,LATIN,True,wikidata
21,Fadila Hachemaoui,Fadila,female,female,DZ,False,NamSor,0.9720427531237256,10.919174067246445,0.9860213765618628,LATIN,True,wikidata
22,Mervat Farrag,Mervat,female,female,EG,False,NamSor,0.8791140678718712,7.194692188871457,0.9395570339359356,LATIN,True,wikidata
23,Ghaniyya Bouhouia,Ghaniyya,female,female,DZ,False,NamSor,0.9671661467177322,9.9855684319174,0.983583073358866,LATIN,True,wikidata
