person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q10000001,Tatyana Kolotilshchikova,female,1937-04-11T00:00:00Z,Russia,Europe
http://www.wikidata.org/entity/Q10000101,Eliška Hladilová,female,1993-01-23T00:00:00Z,Czech Republic,Europe
http://www.wikidata.org/entity/Q1000023,Wiltraut Rupp-von Brünneck,female,1912-08-07T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000044,Sylvia Bayr-Klimpfinger,female,1907-08-01T00:00:00Z,Austria,Europe
http://www.wikidata.org/entity/Q1000089,Ulrike Scheel,female,2000-01-01T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100011609,Nadia Boule,female,1984-10-01T00:00:00Z,Greece,Europe
http://www.wikidata.org/entity/Q1000204,Renee Goddard,female,1923-01-01T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000231,Elisabeth Lange,female,1900-07-07T00:00:00Z,German Reich,Europe
http://www.wikidata.org/entity/Q1000310,Isabella Kossina,female,1962-08-18T00:00:00Z,Austria,Europe
http://www.wikidata.org/entity/Q1000318,Florina Gillnik,female,1958-04-14T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100044214,Hédi Bergl,female,1911-09-08T00:00:00Z,Hungary,Europe
http://www.wikidata.org/entity/Q1000464,Evelin Ferencsik,female,1989-03-20T00:00:00Z,Hungary,Europe
http://www.wikidata.org/entity/Q1000513,Anna Ferenczi,female,1972-09-23T00:00:00Z,Hungary,Europe
http://www.wikidata.org/entity/Q100051867,Danièle Roy,female,1921-11-11T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q1000542,Christina Kauschke,female,1964-01-01T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100054253,Prune de Maistre,female,1978-01-01T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q1000575,Júlia Ferenczy,female,1909-04-03T00:00:00Z,Hungary,Europe
http://www.wikidata.org/entity/Q1000619,Sonja Gerstner,female,1952-06-13T00:00:00Z,German Democratic Republic,Europe
http://www.wikidata.org/entity/Q1000622,Zsuzsa Ferge,female,1931-04-25T00:00:00Z,Hungary,Europe
http://www.wikidata.org/entity/Q100063,Ragnhild Haga,female,1991-02-12T00:00:00Z,Norway,Europe
http://www.wikidata.org/entity/Q100088080,Jackie van Oppen,female,1961-01-01T00:00:00Z,Kingdom of the Netherlands,Europe
http://www.wikidata.org/entity/Q100089913,Lita Soler Arimon,female,1917-01-01T00:00:00Z,Spain,Europe
http://www.wikidata.org/entity/Q1000983,Heike M. Goetze,female,1978-01-01T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1001088,Sonia Farke,female,1969-01-06T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100109193,Princess Joséphine of Belgium,female,2003-10-17T00:00:00Z,Belgium,Europe
http://www.wikidata.org/entity/Q1001145,La Lupa,female,1947-02-09T00:00:00Z,Switzerland,Europe
http://www.wikidata.org/entity/Q100115819,Miriam Fontaine,female,1988-03-30T00:00:00Z,Austria,Europe
http://www.wikidata.org/entity/Q100121326,Elena Kafalieva,female,1940-12-06T00:00:00Z,Bulgaria,Europe
