person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q100057869,Stephanie Summerow Dumas,female,1955-01-23T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100066,Holly Brooks,female,1982-04-17T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100071,Kikkan Randall,female,1982-12-31T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100074,Jessie Diggins,female,1991-08-26T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100075,Liz Stephen,female,1987-01-12T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100119314,Tay Money,female,1993-04-06T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100120443,Eileen Reeves,female,1956-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100135417,Dylan Farrow,female,1985-07-11T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100139357,Julieta Saucedo Bencomo,female,1923-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100139645,Sheila Goold,female,1963-12-16T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100142328,Rengin Altay,female,1962-09-23T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100144588,Mary Ann Hunter,female,1924-07-08T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146037,Caroline Côté,female,1986-09-11T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100146088,Barbara Ann Davis Prince,female,1954-04-16T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146092,Guadalupe Castillo,female,1942-03-23T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146113,Karoline Leavitt,female,1997-08-24T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146281,Kathy Iandoli,female,1978-02-24T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146338,Sandy Oldfield,female,1967-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146612,Celai West,female,2008-03-28T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146624,Jacqueline Reses,female,1969-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100148219,Jeanté Godlock,female,1988-04-24T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100148223,Nakai Takawira,female,2010-01-06T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100148353,Jacqueline Goddet,female,1921-08-16T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152061,Anja Akstin,female,2000-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152310,Rita DiMartino,female,1937-03-07T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152438,Cindy Marcus,female,1973-03-12T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100152678,Gladys Quander Tancil,female,1921-01-31T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152839,Rosemary Thomas,female,1901-02-16T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100153037,Rosalinda Guillén,female,1951-12-28T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100153081,Luz Bazán Gutiérrez,female,1945-08-04T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100154001,Jerica Fox,female,1974-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100154367,Jessica Fox,female,1969-01-15T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100156025,Muriel Kaplan,female,1924-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100156214,Adeline Gray,female,1916-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100157058,Euphama Young Ford,female,1903-04-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100158009,Natalia M. King,female,1969-07-19T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100163503,Nikki Bacharach,female,1966-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100163518,Sydney Meyer,female,1995-09-15T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100165681,Michel Janse,female,1997-03-19T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100165812,Dominique DuVernay,female,1989-04-20T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100179055,Rebecca Kislak,female,1972-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100194836,Naomi Bashkansky,female,2003-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100195715,Anna Arnold,female,1961-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100198798,Courtney Howard,female,1978-11-07T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100215823,Esther Miller,female,1922-08-17T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100220,Susan Cummings,female,1930-07-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100224637,Ruth Mojica-Hammer,female,1926-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100227697,Carolyn Warfield,female,1944-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100230351,Shahar Caren Weaver,female,1947-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100230438,Irma Morillo,female,1919-12-09T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100230847,Olga Ballesteros Olivares,female,1939-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100231154,Charlotte Gailor Cleveland Look,female,1930-01-21T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100231161,Emma Hurtado,female,1907-09-08T00:00:00Z,Mexico,North America
http://www.wikidata.org/entity/Q100231517,Jane Walker Garfield,female,1929-11-03T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100232990,Ellen Wilson McAdoo Hinshaw,female,1915-05-21T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100233188,Krista Maze,female,1972-01-23T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100233515,Precious Chong,female,1968-03-25T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100233536,Mary Faith McAdoo Bush,female,1920-04-06T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100233541,Arussi Unda,female,1988-01-01T00:00:00Z,Mexico,North America
http://www.wikidata.org/entity/Q100234942,Susana Cabrera,female,1924-11-24T00:00:00Z,Mexico,North America
http://www.wikidata.org/entity/Q100235079,Esther Déom,female,1955-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100235362,Brianna Angelakis,female,1990-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100239921,Bobbie Rydell Jones,female,1959-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100239951,Pamela Harris Lawton,female,1959-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240016,Eleanor Magid,female,1933-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240022,Anne Marchand,female,1950-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240056,Elena Maza Borkland,female,1947-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240081,Geneva Higgins McGee,female,1911-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240137,Corinne Mitchell,female,1914-03-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240195,Teixeira Nash,female,1931-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240351,Madeline Murphy Rabb,female,1945-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240479,Nancy Salome Sanford,female,1931-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240561,Yolanda Sharpe,female,1957-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100240809,Kyla Matthews,female,2004-09-23T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100242218,Mera Jaeger,female,1912-04-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100245440,Katie Williams,female,1978-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100249786,Alix Kermes,female,1993-12-20T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100249814,Theresa Chromati,female,1992-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100249999,Lorraine Williams Bolton,female,1919-02-05T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250000,Shirley L. Bolton,female,1945-01-09T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250019,Roslyn Cambridge,female,1946-01-01T00:00:00Z,Trinidad and Tobago,North America
http://www.wikidata.org/entity/Q100250022,Kimberly Camp,female,1956-09-11T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250029,Robin M. Chandler,female,1950-04-03T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250033,Doris Colbert Kennedy,female,1945-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250043,Mary Reed Daniel,female,1946-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250074,Annette Fortt,female,1944-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250077,Irma Talabi Francis,female,1947-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250103,Gail Hansberry,female,1939-09-04T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250105,Francine Haskins,female,1947-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100250107,Claire Helen Haywood,female,1913-09-07T00:00:00Z,United States,North America
