person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q1000975,Susana Kasakoff,female,2000-01-01T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100136990,Andrea Noemí González,female,1977-01-01T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100138227,Lindy García,female,1989-05-30T00:00:00Z,Bolivia,South America
http://www.wikidata.org/entity/Q100138710,Silvana Segura,female,1990-11-06T00:00:00Z,Peru,South America
http://www.wikidata.org/entity/Q100144391,Nathalia Batista,female,1984-08-08T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100146225,Sylvia de Leon Chalreo,female,1905-04-11T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100146297,Vânia de Marchi,female,1956-09-10T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100146617,Esther Morales,female,1949-11-13T00:00:00Z,Bolivia,South America
http://www.wikidata.org/entity/Q100152286,Marina Calabró,female,1973-12-13T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100177343,Guillermina Grant,female,2002-06-02T00:00:00Z,Uruguay,South America
http://www.wikidata.org/entity/Q100230441,Etna Velarde,female,1940-08-12T00:00:00Z,Peru,South America
http://www.wikidata.org/entity/Q100250092,Diva Goulart,female,1932-01-01T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100250642,Mariana Armentano,female,1986-03-01T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100251337,Gloria Gómez,female,1958-08-21T00:00:00Z,Colombia,South America
http://www.wikidata.org/entity/Q100251377,Adriana Astorquiza,female,1957-06-03T00:00:00Z,Colombia,South America
http://www.wikidata.org/entity/Q100251466,Ângela Águida Portella,female,1969-02-12T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100256152,Gala Garrido,female,1987-01-04T00:00:00Z,Venezuela,South America
http://www.wikidata.org/entity/Q100256368,Jessica Cattaneo,female,1996-12-08T00:00:00Z,Peru,South America
http://www.wikidata.org/entity/Q100256905,Ines Marin,female,2001-04-19T00:00:00Z,Chile,South America
http://www.wikidata.org/entity/Q100270882,Gisele Barreto Fetterman,female,1982-02-27T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100272310,Giuliana Dudok,female,2000-08-20T00:00:00Z,Uruguay,South America
http://www.wikidata.org/entity/Q100272311,Nimia Murua,female,1997-12-04T00:00:00Z,Panama,South America
http://www.wikidata.org/entity/Q100273732,Trinidad Ardiles,female,2003-05-10T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100307038,Analía Obarrio,female,1902-08-17T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100307212,Elena María Tuculet Carrau,female,1920-01-01T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100323953,Joselia Aguiar,female,1978-09-01T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100324404,Isabella Páez,female,1995-08-29T00:00:00Z,Venezuela,South America
