person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q100026236,Kévin Boma,male,2002-11-20T00:00:00Z,Togo,Africa
http://www.wikidata.org/entity/Q100026920,Noah Fatar,male,2002-02-15T00:00:00Z,Morocco,Africa
http://www.wikidata.org/entity/Q100031473,Amadou Traoré,male,2002-03-07T00:00:00Z,Guinea,Africa
http://www.wikidata.org/entity/Q100034703,Alexandre Fressange,male,2001-02-02T00:00:00Z,Cameroon,Africa
http://www.wikidata.org/entity/Q1000379,Ferdinand Oyono,male,1929-09-14T00:00:00Z,Cameroon,Africa
http://www.wikidata.org/entity/Q100075553,Steve Asare Hackman,male,1960-01-01T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100088655,Tracey Boakye,male,1991-01-17T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100136222,Bourama Fomba,male,1999-07-10T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100141020,Thomas Tayebwa,male,1980-11-10T00:00:00Z,Uganda,Africa
http://www.wikidata.org/entity/Q100144350,Nicolas Jackson,male,2001-06-20T00:00:00Z,Senegal,Africa
http://www.wikidata.org/entity/Q100144352,Isa Chiroma,male,1963-04-13T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100144539,Raymond Danowski,male,1943-09-10T00:00:00Z,South Africa,Africa
http://www.wikidata.org/entity/Q100145917,Tahir Mamman,male,1954-07-07T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100146226,Mohammed Louz,male,1959-01-01T00:00:00Z,Morocco,Africa
http://www.wikidata.org/entity/Q100146368,Jean-Claude Kassi Brou,male,1953-01-01T00:00:00Z,Ivory Coast,Africa
http://www.wikidata.org/entity/Q100146381,Mohamed Aissa Meddeb,male,1966-10-10T00:00:00Z,Tunisia,Africa
http://www.wikidata.org/entity/Q100146519,Katung Aduwak,male,1980-03-21T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100149446,Fadoul,male,1941-01-01T00:00:00Z,Morocco,Africa
http://www.wikidata.org/entity/Q100150563,Saaka Sulley,male,1956-01-01T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100152035,Abubakari Ibrahim,male,1943-01-01T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100152088,Kwabena Mustapha Emmanuel,male,1960-01-01T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100152366,Sadio Camara,male,1979-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100152703,Ahmed Nuhu Bamalli,male,1966-06-08T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100158749,Nabil Bechaouch,male,1970-01-01T00:00:00Z,Tunisia,Africa
http://www.wikidata.org/entity/Q100166635,Willis Furtado,male,1997-09-04T00:00:00Z,Cape Verde,Africa
http://www.wikidata.org/entity/Q100166666,Henri-Joseph Koumba Bididi,male,1957-07-15T00:00:00Z,Gabon,Africa
http://www.wikidata.org/entity/Q100172714,Yusuf Mukisa,male,1993-07-19T00:00:00Z,Uganda,Africa
http://www.wikidata.org/entity/Q100173920,Lawrence Nduga,male,1995-12-22T00:00:00Z,Uganda,Africa
http://www.wikidata.org/entity/Q100175124,Olatunde Ojo,male,1963-02-14T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100177477,Charles Mensah,male,1948-01-01T00:00:00Z,Gabon,Africa
http://www.wikidata.org/entity/Q100185348,Dylan Tavares,male,1996-08-30T00:00:00Z,Cape Verde,Africa
http://www.wikidata.org/entity/Q100188207,Ali Hadi,male,1949-01-01T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100199907,Raúl Correia Mendes,male,1949-01-01T00:00:00Z,Angola,Africa
http://www.wikidata.org/entity/Q100199990,Richard De Medeiros,male,1940-01-01T00:00:00Z,Benin,Africa
http://www.wikidata.org/entity/Q100215767,Issa N'Diaye,male,1948-10-18T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q1002166,Youssef Aboul-Kheir,male,1943-09-23T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100233320,Kelvin John,male,2003-06-10T00:00:00Z,Tanzania,Africa
