person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q100005,Tadeusz Borowski,male,1922-11-12T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q10001579,Uladzimir Dudzitsky,male,1911-01-08T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q10002000,Mikhail Ioffe,male,1937-04-07T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q100025380,Kerim Çalhanoğlu,male,2002-08-26T00:00:00Z,Turkey,Asia
http://www.wikidata.org/entity/Q1000275,Miguel Molina,male,1984-07-22T00:00:00Z,Philippines,Asia
http://www.wikidata.org/entity/Q100039033,Adem Metin Türk,male,2004-01-15T00:00:00Z,Turkey,Asia
http://www.wikidata.org/entity/Q10004,Yevgeny Chernyaev,male,1921-08-05T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q100041077,Abdulkadir Sünger,male,2000-05-24T00:00:00Z,Turkey,Asia
http://www.wikidata.org/entity/Q1000425,Li Fei,male,1983-02-17T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100042751,Abdulkadir Tasdan,male,2003-06-18T00:00:00Z,Turkey,Asia
http://www.wikidata.org/entity/Q1000588,Chiharu Matsuyama,male,1955-12-16T00:00:00Z,Japan,Asia
http://www.wikidata.org/entity/Q1000626,Hiroshi Yanaka,male,1958-03-10T00:00:00Z,Japan,Asia
http://www.wikidata.org/entity/Q1000674,Fernando G. Alvarez,male,1925-12-15T00:00:00Z,Philippines,Asia
http://www.wikidata.org/entity/Q1000727,Ruslan Galitsky,male,1972-07-14T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q1000836,Buddhadeb Bhattacharjee,male,1944-03-01T00:00:00Z,British Raj,Asia
http://www.wikidata.org/entity/Q100104168,Kanti Biswas,male,1932-01-01T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q1001077,Sergey Dikovsky,male,1907-03-14T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q1001202,Sergey Strunnikov,male,1907-09-25T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q1001206,Mathews Kunnepurayidom Francis,male,1944-12-08T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100122986,Panos Manjian,male,1952-12-03T00:00:00Z,Lebanon,Asia
