person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q1000026,Gillett Griffin,male,1928-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000070,Myron V. George,male,1900-01-06T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000154,"Hugh Meade Alcorn, Jr.",male,1907-10-20T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q10001579,Uladzimir Dudzitsky,male,1911-01-08T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q1000290,Tracy Adams,male,2000-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000366,Bucky Pizzarelli,male,1926-01-09T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000396,Ed Meador,male,1937-08-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000408,Larry Augustin,male,1962-10-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000439,Bud Cullen,male,1927-04-20T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1000458,Bud Gulka,male,1947-04-12T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1000491,Bud Collins,male,1929-06-17T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000498,Bud Greenspan,male,1926-09-18T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000502,Bud Olson,male,1925-10-06T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1000505,Bud Lee,male,1955-09-30T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000509,Bud Holloway,male,1988-03-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1000528,Bud Rose,male,1914-05-07T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000539,Bud Sennett,male,1912-05-21T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000549,Bud Thackery,male,1903-01-31T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000556,Bud Poile,male,1924-02-10T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1000678,Randy McKay,male,1967-01-25T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100068177,John Aylward,male,1980-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000721,Budd Porter,male,1930-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1000791,John Jenkins,male,1991-03-06T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100087516,E. John Robinson,male,1922-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000980,Geoff Kinrade,male,1985-07-29T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1001077,Sergey Dikovsky,male,1907-03-14T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q1001114,Buddy Baker,male,1918-01-04T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001117,Buddy Banks,male,1927-01-15T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1001119,Buddy Banks,male,1909-10-03T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001130,Buddy Bregman,male,1930-07-09T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001142,Buddy Catlett,male,1933-05-13T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001146,Buddy Cage,male,1946-02-18T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001147,Buddy Clark,male,1929-07-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001162,Buddy Deppenschmidt,male,1936-02-16T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001166,Buddy Childers,male,1926-02-12T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001185,Buddy Edelen,male,1937-09-22T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001188,Buddy Emmons,male,1937-01-27T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001195,Buddy Giovinazzo,male,1957-05-05T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001202,Sergey Strunnikov,male,1907-09-25T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q1001203,Buddy Greco,male,1926-08-14T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001205,Buddy Harper,male,2000-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001209,Buddy Hughes,male,1919-06-18T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001211,Buddy Horne,male,1933-10-04T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q1001214,Buddy Ebsen,male,1908-04-02T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1001217,Buddy Jones,male,1924-02-17T00:00:00Z,United States,North America
