,Unnamed: 0,person,person_label,genders,dobs,countries,continents,hasMiddleName,hasProblematicName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason
0,0.0,http://www.wikidata.org/entity/Q100065772,Clara Benson,female,2000-08-19T00:00:00Z,Ghana,Africa,False,False,False,Clara Benson,False,
1,1.0,http://www.wikidata.org/entity/Q100136959,Esther Ruth Mbabazi,female,1995-01-01T00:00:00Z,Uganda,Africa,True,False,False,Esther Ruth Mbabazi,False,
2,2.0,http://www.wikidata.org/entity/Q100146654,Dalia Ziada,female,1982-01-01T00:00:00Z,Egypt,Africa,False,False,False,Dalia Ziada,False,
3,3.0,http://www.wikidata.org/entity/Q100152601,Fatou Haidara,female,1962-01-01T00:00:00Z,Mali,Africa,False,False,False,Fatou Haidara,False,
4,4.0,http://www.wikidata.org/entity/Q100165910,Claude Haffner,female,1976-01-01T00:00:00Z,Democratic Republic of the Congo,Africa,False,False,False,Claude Haffner,False,
5,5.0,http://www.wikidata.org/entity/Q100214040,Bâ Odette Yattara,female,1944-01-01T00:00:00Z,Mali,Africa,True,False,False,Bâ Odette Yattara,True,non_ascii
6,6.0,http://www.wikidata.org/entity/Q100230407,Traoré Oumou Touré,female,1950-01-01T00:00:00Z,Mali,Africa,True,False,False,Traoré Oumou Touré,True,non_ascii
7,7.0,http://www.wikidata.org/entity/Q100233625,Diallo Sène,female,1952-07-01T00:00:00Z,Mali,Africa,False,False,False,Diallo Sène,True,non_ascii
8,8.0,http://www.wikidata.org/entity/Q100233649,Fatoumata Sylla,female,1954-12-11T00:00:00Z,Mali,Africa,False,False,False,Fatoumata Sylla,False,
9,9.0,http://www.wikidata.org/entity/Q100233714,Maïga Zeïnab Mint Youba,female,1955-11-30T00:00:00Z,Mali,Africa,True,False,False,Maïga Zeïnab Mint Youba,True,non_ascii
10,10.0,http://www.wikidata.org/entity/Q100233791,Soumaré Aminata Sidibé,female,1954-01-01T00:00:00Z,Mali,Africa,True,False,False,Soumaré Aminata Sidibé,True,non_ascii
11,11.0,http://www.wikidata.org/entity/Q100243004,Manuella Ollo,female,1985-08-16T00:00:00Z,Ivory Coast,Africa,False,False,False,Manuella Ollo,False,
12,12.0,http://www.wikidata.org/entity/Q100249616,Awa Traoré,female,1980-01-01T00:00:00Z,Mali,Africa,False,False,False,Awa Traoré,True,non_ascii
