person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q100065772,Clara Benson,female,2000-08-19T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100136959,Esther Ruth Mbabazi,female,1995-01-01T00:00:00Z,Uganda,Africa
http://www.wikidata.org/entity/Q100146654,Dalia Ziada,female,1982-01-01T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100152601,Fatou Haidara,female,1962-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100165910,Claude Haffner,female,1976-01-01T00:00:00Z,Democratic Republic of the Congo,Africa
http://www.wikidata.org/entity/Q100214040,Bâ Odette Yattara,female,1944-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100230407,Traoré Oumou Touré,female,1950-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100233625,Diallo Sène,female,1952-07-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100233649,Fatoumata Sylla,female,1954-12-11T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100233714,Maïga Zeïnab Mint Youba,female,1955-11-30T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100233791,Soumaré Aminata Sidibé,female,1954-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100243004,Manuella Ollo,female,1985-08-16T00:00:00Z,Ivory Coast,Africa
http://www.wikidata.org/entity/Q100249616,Awa Traoré,female,1980-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100250433,Ba Hawa Keita,female,1952-10-20T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100250623,Bâ Fatoumata Nènè Sy,female,1959-07-03T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100251399,Maïga Sina Damba,female,1957-11-16T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100255653,Erlyne Antonella Ndembet,female,1971-01-01T00:00:00Z,Gabon,Africa
http://www.wikidata.org/entity/Q100256832,Lorna Doorman,female,1998-04-15T00:00:00Z,Zimbabwe,Africa
http://www.wikidata.org/entity/Q100258380,Enayat al-Zayyat,female,1936-03-23T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100258634,Arafa Abdel Rasoul,female,1954-02-19T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100258796,Fatima Hellilou,female,1955-01-01T00:00:00Z,Algeria,Africa
http://www.wikidata.org/entity/Q100258808,Fadila Hachemaoui,female,1955-01-01T00:00:00Z,Algeria,Africa
http://www.wikidata.org/entity/Q100258880,Mervat Farrag,female,1960-07-15T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100258900,Ghaniyya Bouhouia,female,1988-10-11T00:00:00Z,Algeria,Africa
http://www.wikidata.org/entity/Q100259331,Bella Keshk,female,1994-01-01T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100259783,Magda Saleh,female,1943-01-01T00:00:00Z,Kingdom of Egypt,Africa
http://www.wikidata.org/entity/Q100260890,Emna Fakher,female,1981-03-10T00:00:00Z,Tunisia,Africa
http://www.wikidata.org/entity/Q100261615,Marianne Khoury,female,1958-10-02T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100268168,Teodolinda Rosa Rodrigues Coelho,female,1959-08-02T00:00:00Z,Angola,Africa
http://www.wikidata.org/entity/Q100268832,Diarra Mariam Flantié Diallo,female,1955-06-28T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100268843,Gakou Salamata Fofana,female,1956-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100268929,Diabaté Fatoumata Guindo,female,1973-06-28T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100269043,Sangaré Oumou Ba,female,1947-02-15T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100269474,Vicentia Boco,female,1949-01-22T00:00:00Z,Benin,Africa
http://www.wikidata.org/entity/Q100272601,Therese Soukup,female,2003-07-08T00:00:00Z,Seychelles,Africa
http://www.wikidata.org/entity/Q100273559,Aisha Yesufu,female,1973-12-12T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100275809,Togola Marie Jacqueline Nana,female,1949-04-29T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100276084,Priscilla Jana,female,1943-12-05T00:00:00Z,South Africa,Africa
http://www.wikidata.org/entity/Q100279030,Diarra Raky Talla,female,1966-08-15T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100279449,Sanogo Aminata Mallé,female,1957-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100280127,Bintou Founé Samaké,female,1960-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100280563,Traoré Seynabou Diop,female,1963-11-16T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100310363,Aïcha Macky,female,1982-01-08T00:00:00Z,Niger,Africa
http://www.wikidata.org/entity/Q100313973,Keïta Aïda M'Bo,female,1958-01-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100319041,Philippa Ndisi-Herrmann,female,1985-01-01T00:00:00Z,Kenya,Africa
http://www.wikidata.org/entity/Q100320633,Ly Taher Dravé,female,1972-06-01T00:00:00Z,Mali,Africa
http://www.wikidata.org/entity/Q100324206,Bridget Otoo,female,1983-01-01T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100326095,Branwen Okpako,female,1969-02-25T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100330628,Voahary Rakotovelomanantsoa,female,1982-07-20T00:00:00Z,Madagascar,Africa
http://www.wikidata.org/entity/Q100330737,Joelle Kayembe,female,1983-05-31T00:00:00Z,Democratic Republic of the Congo,Africa
http://www.wikidata.org/entity/Q100334087,Sophia Byass,female,1993-05-26T00:00:00Z,The Gambia,Africa
http://www.wikidata.org/entity/Q100341292,Marthe Solange Achy Brou,female,1949-01-01T00:00:00Z,Ivory Coast,Africa
http://www.wikidata.org/entity/Q100341661,Celeste Heloise Barker,female,1960-07-07T00:00:00Z,South Africa,Africa
http://www.wikidata.org/entity/Q100343336,Mandisa Makesini,female,1975-09-20T00:00:00Z,South Africa,Africa
http://www.wikidata.org/entity/Q100364484,Loub Yacout Zaïdou,female,1961-01-01T00:00:00Z,Comoros,Africa
http://www.wikidata.org/entity/Q100375903,Cynthia Butare,female,1987-01-01T00:00:00Z,Rwanda,Africa
http://www.wikidata.org/entity/Q100376295,Thouria El Hadraoui,female,1957-01-01T00:00:00Z,Morocco,Africa
http://www.wikidata.org/entity/Q100376310,Sakina Safadi,female,1952-01-01T00:00:00Z,Morocco,Africa
http://www.wikidata.org/entity/Q100383566,Laura Musanase,female,1993-01-01T00:00:00Z,Tanzania,Africa
http://www.wikidata.org/entity/Q100384329,Munezero Aline,female,1994-01-01T00:00:00Z,Rwanda,Africa
http://www.wikidata.org/entity/Q100396318,Girley Jazama,female,1984-01-01T00:00:00Z,Namibia,Africa
http://www.wikidata.org/entity/Q100415817,Nadège Uwamwezi,female,1993-01-01T00:00:00Z,Rwanda,Africa
http://www.wikidata.org/entity/Q100418524,Dora Francisca Edu-Buandoh,female,1962-04-01T00:00:00Z,Ghana,Africa
http://www.wikidata.org/entity/Q100427228,Martine Oulabou,female,1959-01-01T00:00:00Z,Gabon,Africa
http://www.wikidata.org/entity/Q100431141,Ayyam Sureau,female,1965-01-01T00:00:00Z,Egypt,Africa
http://www.wikidata.org/entity/Q100433730,Catherine Kamau,female,1987-02-03T00:00:00Z,Kenya,Africa
http://www.wikidata.org/entity/Q100433813,Aïcha Boro,female,1978-05-24T00:00:00Z,Burkina Faso,Africa
http://www.wikidata.org/entity/Q100436816,Fay Goldie,female,1904-01-01T00:00:00Z,South Africa,Africa
http://www.wikidata.org/entity/Q100439059,Aderonke Adeola,female,1990-01-01T00:00:00Z,Nigeria,Africa
http://www.wikidata.org/entity/Q100489282,Pascale Lamche,female,1960-07-01T00:00:00Z,South Africa,Africa
http://www.wikidata.org/entity/Q100535753,Kagendo Murungi,female,1971-12-07T00:00:00Z,Kenya,Africa
http://www.wikidata.org/entity/Q100543825,Omelga Mthiyane,female,1977-01-01T00:00:00Z,South Africa,Africa
