person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q10000001,Tatyana Kolotilshchikova,female,1937-04-11T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q100016875,Sukri Bommagowda,female,1937-01-01T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100116307,Cynthia Patag,female,1956-02-28T00:00:00Z,Philippines,Asia
http://www.wikidata.org/entity/Q100138120,Bharati Harish Dangre,female,1968-01-01T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100138411,Qian Xijun,female,1905-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100138493,Qiu Yihan,female,1907-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100142328,Rengin Altay,female,1962-09-23T00:00:00Z,Turkey,Asia
http://www.wikidata.org/entity/Q100146393,Sai Na,female,1979-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100146403,Yeom Seungsuk,female,1982-01-01T00:00:00Z,South Korea,Asia
http://www.wikidata.org/entity/Q100146627,Marina Rosenberg,female,1976-01-01T00:00:00Z,Israel,Asia
http://www.wikidata.org/entity/Q100146686,Tara Gandhi,female,1934-04-24T00:00:00Z,British Raj,Asia
http://www.wikidata.org/entity/Q100146688,Wang Henei,female,1912-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100146791,Wang Quanyuan,female,1913-01-01T00:00:00Z,Republic of China,Asia
http://www.wikidata.org/entity/Q100146799,Wang Yingchun,female,1942-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100146820,Wu Fulian,female,1912-01-01T00:00:00Z,Republic of China,Asia
http://www.wikidata.org/entity/Q100146877,Wulan,female,1923-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100147027,Xiao Yuehua,female,1913-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100147817,Sumitra Kulkarni,female,1929-10-05T00:00:00Z,British Raj,Asia
http://www.wikidata.org/entity/Q100149087,Melika Ahadi,female,1998-05-18T00:00:00Z,Iran,Asia
http://www.wikidata.org/entity/Q100150481,Su Pei-ling,female,2000-01-30T00:00:00Z,Taiwan,Asia
http://www.wikidata.org/entity/Q100151554,Tatyana Vlasova,female,1943-01-05T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q100151994,Yang Houzhen,female,1908-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100152023,Yang Huizen,female,1913-01-01T00:00:00Z,Republic of China,Asia
http://www.wikidata.org/entity/Q100152143,Ye Tao,female,1905-01-01T00:00:00Z,Empire of Japan,Asia
http://www.wikidata.org/entity/Q100152796,Zhang Guiqin,female,1941-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100152836,Zhenhua,female,1909-01-01T00:00:00Z,Republic of China,Asia
http://www.wikidata.org/entity/Q100152844,Zhong Yuzheng,female,1930-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100153927,Hayeon,female,1998-08-31T00:00:00Z,South Korea,Asia
http://www.wikidata.org/entity/Q100159294,Nurani Ratu Azzahra,female,2002-05-15T00:00:00Z,Indonesia,Asia
http://www.wikidata.org/entity/Q100168530,Alexandra Kalev,female,1970-01-01T00:00:00Z,Israel,Asia
http://www.wikidata.org/entity/Q100223754,Vijay Atluri,female,1956-05-31T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100233715,Kamala Balakrishnan,female,1930-01-16T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100235645,Nada Boustani,female,1983-01-27T00:00:00Z,Lebanon,Asia
http://www.wikidata.org/entity/Q100235770,Irit Ben-Abba,female,1958-01-01T00:00:00Z,Israel,Asia
http://www.wikidata.org/entity/Q100237345,Hande Sarıoğlu,female,1988-09-19T00:00:00Z,Turkey,Asia
http://www.wikidata.org/entity/Q100248430,Shakuntala Bhagat,female,1933-02-06T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100251607,Jo Yeong-ja,female,1950-01-08T00:00:00Z,South Korea,Asia
http://www.wikidata.org/entity/Q100251647,Jo Yeong-suk,female,1951-08-06T00:00:00Z,South Korea,Asia
http://www.wikidata.org/entity/Q100251969,Zhang Yiming,female,2000-11-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100252442,Hồng Đào,female,1962-09-25T00:00:00Z,Vietnam,Asia
http://www.wikidata.org/entity/Q100254882,Luo Chuyue,female,2001-08-10T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100255645,Koo Donghee,female,1974-01-01T00:00:00Z,South Korea,Asia
http://www.wikidata.org/entity/Q100255658,Hanan Jarrar,female,1975-02-14T00:00:00Z,State of Palestine,Asia
http://www.wikidata.org/entity/Q100256841,Rachel Tseng,female,1998-03-03T00:00:00Z,South Korea,Asia
http://www.wikidata.org/entity/Q100257890,"Rabīʻ, Āminah",female,1969-01-01T00:00:00Z,Oman,Asia
http://www.wikidata.org/entity/Q100258074,Rania Eissa,female,1978-10-08T00:00:00Z,Lebanon,Asia
http://www.wikidata.org/entity/Q100258154,Zarqa Yaftali,female,1984-01-01T00:00:00Z,Afghanistan,Asia
http://www.wikidata.org/entity/Q100258269,Jumana karim,female,1984-10-06T00:00:00Z,Iraq,Asia
http://www.wikidata.org/entity/Q100258571,Amina Rasul-Bernardo,female,1954-01-01T00:00:00Z,Philippines,Asia
http://www.wikidata.org/entity/Q100258613,Aida Idriss,female,1934-01-01T00:00:00Z,Lebanon,Asia
http://www.wikidata.org/entity/Q100258644,Alia Hatogh Buran,female,1955-01-01T00:00:00Z,Jordan,Asia
http://www.wikidata.org/entity/Q100259783,Magda Saleh,female,1943-01-01T00:00:00Z,United Arab Republic,Asia
http://www.wikidata.org/entity/Q100260161,Sajida Obaidl,female,1957-11-02T00:00:00Z,Iraq,Asia
