person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q1000002,Claus Hammel,male,1932-12-04T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000006,Florian Eichinger,male,1971-07-14T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100001260,Henk Rigters,male,1915-10-06T00:00:00Z,Kingdom of the Netherlands,Europe
http://www.wikidata.org/entity/Q1000015,Florian Jahr,male,1983-06-23T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000045,Eugen Karl Brammertz,male,1915-04-03T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100005,Tadeusz Borowski,male,1922-11-12T00:00:00Z,Ukrainian Soviet Socialist Republic,Europe
http://www.wikidata.org/entity/Q1000050,Mayk Bullerjahn,male,1963-11-01T00:00:00Z,German Democratic Republic,Europe
http://www.wikidata.org/entity/Q1000053,Vasily Nebenzya,male,1962-02-26T00:00:00Z,Russia,Europe
http://www.wikidata.org/entity/Q1000061,Valentyn Symonenko,male,1940-07-04T00:00:00Z,Ukraine,Europe
http://www.wikidata.org/entity/Q1000074,Richard Ellerkmann,male,1928-06-06T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000079,Otto Arndt Liebisch,male,1935-01-22T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000087,Horst Baier,male,1933-03-26T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q10001579,Uladzimir Dudzitsky,male,1911-01-08T00:00:00Z,Soviet Union,Europe
http://www.wikidata.org/entity/Q1000164,Erik Vliegen,male,1978-07-20T00:00:00Z,Belgium,Europe
http://www.wikidata.org/entity/Q1000171,Daniele D’Agaro,male,1958-08-13T00:00:00Z,Italy,Europe
http://www.wikidata.org/entity/Q1000173,Maximilian Holst,male,1989-06-23T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000180,Thilo Koch,male,1920-09-20T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000183,Martin Bärenz,male,1956-01-01T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000190,Christoph Behr,male,1989-03-21T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000193,Hans Elsässer,male,1929-03-29T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000195,Dietmar Thieser,male,1952-11-27T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000198,Richard Mademann,male,1968-04-25T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q10002000,Mikhail Ioffe,male,1937-04-07T00:00:00Z,Soviet Union,Europe
http://www.wikidata.org/entity/Q10002044,Lean Nielsen,male,1935-01-28T00:00:00Z,Kingdom of Denmark,Europe
http://www.wikidata.org/entity/Q1000228,Wolfgang Poppelbaum,male,1939-06-20T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000229,Hans Beletz,male,1954-05-30T00:00:00Z,Austria,Europe
http://www.wikidata.org/entity/Q1000238,Clemens Ostermann,male,1984-06-11T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000242,Karl-Heinz Singer,male,1928-03-15T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000246,Halvor Næs,male,1928-04-19T00:00:00Z,Norway,Europe
http://www.wikidata.org/entity/Q100025380,Kerim Çalhanoğlu,male,2002-08-26T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000254,Thomas A. Szlezák,male,1940-07-12T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100026236,Kévin Boma,male,2002-11-20T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q10002689,Mariusz Ziółko,male,1946-09-18T00:00:00Z,Poland,Europe
http://www.wikidata.org/entity/Q100026920,Noah Fatar,male,2002-02-15T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q100027694,Ismaël Sow,male,2001-02-19T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q100028,Jörg Hube,male,1943-11-22T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000292,Klaus Wagner,male,1922-01-16T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100029727,Logan Delaurier-Chaubet,male,2002-04-22T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q1000299,Mikhail Chernikov,male,1974-01-11T00:00:00Z,Russia,Europe
http://www.wikidata.org/entity/Q100030,Alfred Ter-Mkrtychyan,male,1971-03-19T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000309,Frank Lienert-Mondanelli,male,1955-01-01T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000314,Tom O'Donnell,male,1926-08-30T00:00:00Z,Ireland,Europe
http://www.wikidata.org/entity/Q100031473,Amadou Traoré,male,2002-03-07T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q1000315,Wulf-Dietrich Kavasch,male,1944-07-19T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100032134,Pietro Clausetti,male,1904-01-02T00:00:00Z,Italy,Europe
http://www.wikidata.org/entity/Q1000324,Alexander Eisvogel,male,1965-07-23T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100033333,Giulio Fanti,male,1956-02-03T00:00:00Z,Italy,Europe
http://www.wikidata.org/entity/Q100033357,Mouhamad Lamine Doumbouya,male,2000-03-14T00:00:00Z,France,Europe
http://www.wikidata.org/entity/Q1000337,Lothar Curdt,male,1928-06-08T00:00:00Z,Germany,Europe
