person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q10001579,Uladzimir Dudzitsky,male,1911-01-08T00:00:00Z,Venezuela,South America
http://www.wikidata.org/entity/Q1000296,Fred Carreiro,male,1979-08-18T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q1000482,Walter Ivan de Azevedo,male,1926-05-08T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q1000682,Fernando Carrillo,male,1970-01-06T00:00:00Z,Venezuela,South America
http://www.wikidata.org/entity/Q1000693,Fernando Tamayo,male,1963-12-17T00:00:00Z,Ecuador,South America
http://www.wikidata.org/entity/Q1001139,Luis Felipe Sánchez Aponte,male,1947-05-11T00:00:00Z,Colombia,South America
http://www.wikidata.org/entity/Q1001187,Domingo Salvador Castagna,male,1931-01-12T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q1001193,Heinz Dieter Heidemann,male,1946-01-01T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q1001227,Fierro Chávez,male,1958-10-30T00:00:00Z,Ecuador,South America
http://www.wikidata.org/entity/Q1001328,Buddy Richard,male,1943-09-21T00:00:00Z,Chile,South America
http://www.wikidata.org/entity/Q100138105,Chocolate da Bahia,male,1943-08-30T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100138109,Felipe Martinez Carbonell,male,1990-10-21T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100140986,Davi Machado dos Santos Araújo,male,1999-03-20T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100145947,Jackson Rodríguez Perlaza,male,1998-10-07T00:00:00Z,Ecuador,South America
http://www.wikidata.org/entity/Q100146359,Diego Cor,male,2000-07-06T00:00:00Z,Uruguay,South America
http://www.wikidata.org/entity/Q100146378,Marcelo Garcés,male,2000-06-08T00:00:00Z,Peru,South America
http://www.wikidata.org/entity/Q100146652,Nicolás Quagliata,male,1999-06-05T00:00:00Z,Uruguay,South America
http://www.wikidata.org/entity/Q100146694,Rodrigo Mena,male,1966-06-29T00:00:00Z,Ecuador,South America
http://www.wikidata.org/entity/Q100146747,Arnaldo Leite Pereira,male,1933-05-27T00:00:00Z,Brazil,South America
http://www.wikidata.org/entity/Q100147541,Carlos Hobert,male,1945-06-27T00:00:00Z,Argentina,South America
http://www.wikidata.org/entity/Q100152769,Armando Cardoso,male,1906-01-01T00:00:00Z,Brazil,South America
