person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q10000001,Tatyana Kolotilshchikova,female,1937-04-11T00:00:00Z,Russia|Soviet Union,Europe|Asia
http://www.wikidata.org/entity/Q1000002,Claus Hammel,male,1932-12-04T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000006,Florian Eichinger,male,1971-07-14T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q10000101,Eliška Hladilová,female,1993-01-23T00:00:00Z,Czech Republic,Europe
http://www.wikidata.org/entity/Q100001260,Henk Rigters,male,1915-10-06T00:00:00Z,Kingdom of the Netherlands,Europe
http://www.wikidata.org/entity/Q1000015,Florian Jahr,male,1983-06-23T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000023,Wiltraut Rupp-von Brünneck,female,1912-08-07T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000026,Gillett Griffin,male,1928-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000044,Sylvia Bayr-Klimpfinger,female,1907-08-01T00:00:00Z,Austria,Europe
http://www.wikidata.org/entity/Q1000045,Eugen Karl Brammertz,male,1915-04-03T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100005,Tadeusz Borowski,male,1922-11-12T00:00:00Z,Soviet Union|Second Polish Republic|Polish People's Republic|Ukrainian Soviet Socialist Republic,Asia|Europe
http://www.wikidata.org/entity/Q1000050,Mayk Bullerjahn,male,1963-11-01T00:00:00Z,German Democratic Republic|Germany,Europe
http://www.wikidata.org/entity/Q1000053,Vasily Nebenzya,male,1962-02-26T00:00:00Z,Russia,Europe
http://www.wikidata.org/entity/Q1000061,Valentyn Symonenko,male,1940-07-04T00:00:00Z,Ukraine,Europe
http://www.wikidata.org/entity/Q1000070,Myron V. George,male,1900-01-06T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q1000074,Richard Ellerkmann,male,1928-06-06T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000079,Otto Arndt Liebisch,male,1935-01-22T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000087,Horst Baier,male,1933-03-26T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q1000089,Ulrike Scheel,female,2000-01-01T00:00:00Z,Germany,Europe
http://www.wikidata.org/entity/Q100011609,Nadia Boule,female,1984-10-01T00:00:00Z,Greece,Europe
http://www.wikidata.org/entity/Q1000154,"Hugh Meade Alcorn, Jr.",male,1907-10-20T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q10001579,Uladzimir Dudzitsky,male,1911-01-08T00:00:00Z,Soviet Union|Reichskommissariat Ostland|Russian Empire|Venezuela,Asia|Europe|Eurasia|North America|South America
http://www.wikidata.org/entity/Q1000164,Erik Vliegen,male,1978-07-20T00:00:00Z,Belgium,Europe
