,person,person_label,genders,dobs,countries,continents,iso_country,firstCountry,birth_year
0,http://www.wikidata.org/entity/Q10000001,Tatyana Kolotilshchikova,female,1937-04-11 00:00:00+00:00,Russia|Soviet Union,Europe|Asia,RU,Russia,1937.0
1,http://www.wikidata.org/entity/Q1000002,Claus Hammel,male,1932-12-04 00:00:00+00:00,Germany,Europe,DE,Germany,1932.0
2,http://www.wikidata.org/entity/Q1000006,Florian Eichinger,male,1971-07-14 00:00:00+00:00,Germany,Europe,DE,Germany,1971.0
3,http://www.wikidata.org/entity/Q10000101,Eliška Hladilová,female,1993-01-23 00:00:00+00:00,Czech Republic,Europe,CZ,Czech Republic,1993.0
4,http://www.wikidata.org/entity/Q100001260,Henk Rigters,male,1915-10-06 00:00:00+00:00,Kingdom of the Netherlands,Europe,NL,Kingdom of the Netherlands,1915.0
5,http://www.wikidata.org/entity/Q1000015,Florian Jahr,male,1983-06-23 00:00:00+00:00,Germany,Europe,DE,Germany,1983.0
6,http://www.wikidata.org/entity/Q1000023,Wiltraut Rupp-von Brünneck,female,1912-08-07 00:00:00+00:00,Germany,Europe,DE,Germany,1912.0
7,http://www.wikidata.org/entity/Q1000026,Gillett Griffin,male,1928-01-01 00:00:00+00:00,United States,North America,US,United States,1928.0
8,http://www.wikidata.org/entity/Q1000044,Sylvia Bayr-Klimpfinger,female,1907-08-01 00:00:00+00:00,Austria,Europe,AT,Austria,1907.0
9,http://www.wikidata.org/entity/Q1000045,Eugen Karl Brammertz,male,1915-04-03 00:00:00+00:00,Germany,Europe,DE,Germany,1915.0
10,http://www.wikidata.org/entity/Q100005,Tadeusz Borowski,male,1922-11-12 00:00:00+00:00,Soviet Union|Second Polish Republic|Polish People's Republic|Ukrainian Soviet Socialist Republic,Asia|Europe,,Soviet Union,1922.0
11,http://www.wikidata.org/entity/Q1000050,Mayk Bullerjahn,male,1963-11-01 00:00:00+00:00,German Democratic Republic|Germany,Europe,,German Democratic Republic,1963.0
12,http://www.wikidata.org/entity/Q1000053,Vasily Nebenzya,male,1962-02-26 00:00:00+00:00,Russia,Europe,RU,Russia,1962.0
13,http://www.wikidata.org/entity/Q1000061,Valentyn Symonenko,male,1940-07-04 00:00:00+00:00,Ukraine,Europe,UA,Ukraine,1940.0
14,http://www.wikidata.org/entity/Q1000070,Myron V. George,male,1900-01-06 00:00:00+00:00,United States,North America,US,United States,1900.0
15,http://www.wikidata.org/entity/Q1000074,Richard Ellerkmann,male,1928-06-06 00:00:00+00:00,Germany,Europe,DE,Germany,1928.0
16,http://www.wikidata.org/entity/Q1000079,Otto Arndt Liebisch,male,1935-01-22 00:00:00+00:00,Germany,Europe,DE,Germany,1935.0
17,http://www.wikidata.org/entity/Q1000087,Horst Baier,male,1933-03-26 00:00:00+00:00,Germany,Europe,DE,Germany,1933.0
18,http://www.wikidata.org/entity/Q1000089,Ulrike Scheel,female,2000-01-01 00:00:00+00:00,Germany,Europe,DE,Germany,2000.0
19,http://www.wikidata.org/entity/Q100011609,Nadia Boule,female,1984-10-01 00:00:00+00:00,Greece,Europe,GR,Greece,1984.0
20,http://www.wikidata.org/entity/Q1000154,"Hugh Meade Alcorn, Jr.",male,1907-10-20 00:00:00+00:00,United States,North America,US,United States,1907.0
21,http://www.wikidata.org/entity/Q10001579,Uladzimir Dudzitsky,male,1911-01-08 00:00:00+00:00,Soviet Union|Reichskommissariat Ostland|Russian Empire|Venezuela,Asia|Europe|Eurasia|North America|South America,,Soviet Union,1911.0
22,http://www.wikidata.org/entity/Q1000164,Erik Vliegen,male,1978-07-20 00:00:00+00:00,Belgium,Europe,BE,Belgium,1978.0
23,http://www.wikidata.org/entity/Q100016875,Sukri Bommagowda,female,1937-01-01 00:00:00+00:00,India,Asia,IN,India,1937.0
24,http://www.wikidata.org/entity/Q1000171,Daniele D’Agaro,male,1958-08-13 00:00:00+00:00,Italy,Europe,IT,Italy,1958.0
25,http://www.wikidata.org/entity/Q1000173,Maximilian Holst,male,1989-06-23 00:00:00+00:00,Germany,Europe,DE,Germany,1989.0
26,http://www.wikidata.org/entity/Q1000180,Thilo Koch,male,1920-09-20 00:00:00+00:00,Germany,Europe,DE,Germany,1920.0
27,http://www.wikidata.org/entity/Q1000183,Martin Bärenz,male,1956-01-01 00:00:00+00:00,Germany,Europe,DE,Germany,1956.0
28,http://www.wikidata.org/entity/Q1000190,Christoph Behr,male,1989-03-21 00:00:00+00:00,Germany,Europe,DE,Germany,1989.0
29,http://www.wikidata.org/entity/Q1000193,Hans Elsässer,male,1929-03-29 00:00:00+00:00,Germany,Europe,DE,Germany,1929.0
30,http://www.wikidata.org/entity/Q1000195,Dietmar Thieser,male,1952-11-27 00:00:00+00:00,Germany,Europe,DE,Germany,1952.0
31,http://www.wikidata.org/entity/Q1000198,Richard Mademann,male,1968-04-25 00:00:00+00:00,Germany,Europe,DE,Germany,1968.0
32,http://www.wikidata.org/entity/Q10002000,Mikhail Ioffe,male,1937-04-07 00:00:00+00:00,Russia|Soviet Union,Europe|Asia,RU,Russia,1937.0
33,http://www.wikidata.org/entity/Q1000204,Renee Goddard,female,1923-01-01 00:00:00+00:00,Germany,Europe,DE,Germany,1923.0
34,http://www.wikidata.org/entity/Q10002044,Lean Nielsen,male,1935-01-28 00:00:00+00:00,Kingdom of Denmark,Europe,DK,Kingdom of Denmark,1935.0
35,http://www.wikidata.org/entity/Q1000228,Wolfgang Poppelbaum,male,1939-06-20 00:00:00+00:00,Germany,Europe,DE,Germany,1939.0
36,http://www.wikidata.org/entity/Q1000229,Hans Beletz,male,1954-05-30 00:00:00+00:00,Austria,Europe,AT,Austria,1954.0
37,http://www.wikidata.org/entity/Q1000231,Elisabeth Lange,female,1900-07-07 00:00:00+00:00,German Reich,Europe,,German Reich,1900.0
38,http://www.wikidata.org/entity/Q1000238,Clemens Ostermann,male,1984-06-11 00:00:00+00:00,Germany,Europe,DE,Germany,1984.0
39,http://www.wikidata.org/entity/Q1000242,Karl-Heinz Singer,male,1928-03-15 00:00:00+00:00,German Democratic Republic|Germany,Europe,,German Democratic Republic,1928.0
40,http://www.wikidata.org/entity/Q1000246,Halvor Næs,male,1928-04-19 00:00:00+00:00,Norway,Europe,NO,Norway,1928.0
41,http://www.wikidata.org/entity/Q100025380,Kerim Çalhanoğlu,male,2002-08-26 00:00:00+00:00,Germany|Turkey,Europe|Asia,DE,Germany,2002.0
42,http://www.wikidata.org/entity/Q1000254,Thomas A. Szlezák,male,1940-07-12 00:00:00+00:00,Germany,Europe,DE,Germany,1940.0
43,http://www.wikidata.org/entity/Q100026236,Kévin Boma,male,2002-11-20 00:00:00+00:00,France|Togo,Europe|Africa,FR,France,2002.0
44,http://www.wikidata.org/entity/Q10002689,Mariusz Ziółko,male,1946-09-18 00:00:00+00:00,Poland,Europe,PL,Poland,1946.0
45,http://www.wikidata.org/entity/Q100026920,Noah Fatar,male,2002-02-15 00:00:00+00:00,Morocco|France,Africa|Europe,MA,Morocco,2002.0
46,http://www.wikidata.org/entity/Q1000275,Miguel Molina,male,1984-07-22 00:00:00+00:00,Philippines,Asia,PH,Philippines,1984.0
47,http://www.wikidata.org/entity/Q100027694,Ismaël Sow,male,2001-02-19 00:00:00+00:00,France,Europe,FR,France,2001.0
